Order,Order Source Reference,Line,Ordered Item,Qty,Status,UOM,Line Type,Extended Price,Ship To Location
436616,840215-81743,1.1,024404P8,4,Closed,EA,Clothing,60.04,810
436616,840215-81743,2.1,023806P6,4,Closed,EA,Clothing,48.68,810
436616,840215-81743,3.1,024408P6,3,Closed,EA,Clothing,166.92,810
436616,840215-81743,4.1,024409P6,9,Closed,EA,Clothing,395.01,810
436616,840215-81743,5.1,024410P0,9,Closed,EA,Clothing,348.3,810
436616,840215-81743,6.1,024410P8,15,Closed,EA,Clothing,835.5,810
436616,840215-81743,7.1,024407P4,9,Closed,EA,Clothing,415.62,810
436616,840215-81743,8.1,024204P6,3,Closed,EA,Clothing,142.02,810
436616,840215-81743,9.1,024603P00,12,Closed,EA,Clothing,509.64,810
436616,840215-81743,10.1,#N/A,4,Closed,EA,Sundry Line,83.88,810
436616,840215-81743,11.1,#N/A,16,Closed,EA,Sundry Line,327.68,810
436616,840215-81743,12.1,#N/A,0,Cancelled,EA,Sundry Line,0,810
436616,840215-81743,13.1,024009P4,36,Closed,EA,Clothing,139.32,810
436616,840215-81743,14.1,#N/A,4,Closed,EA,Sundry Line,86,810
436616,840215-81743,15.1,#N/A,2,Closed,EA,Sundry Line,43.38,810
436616,840215-81743,16.1,024004P0,9,Closed,EA,Clothing,30.15,810
436616,840215-81743,17.1,024607P00,9,Closed,EA,Clothing,39.87,810
436616,840215-81743,18.1,024008P0,9,Closed,EA,Clothing,35.64,810
436616,840215-81743,19.1,024403P0,9,Closed,EA,Clothing,39.06,810
436616,840215-81743,20.1,024409P10,9,Closed,EA,Clothing,24.84,810
436616,840215-81743,21.1,024410P6,9,Closed,EA,Clothing,32.49,810
436616,840215-81743,22.1,023606P10,9,Closed,EA,Clothing,32.4,810
436616,840215-81743,23.1,024009P10,27,Closed,EA,Clothing,80.19,810
436616,840215-81743,24.1,023801P2,4,Closed,EA,Clothing,48.24,810
436616,840215-81743,25.1,023809P6,8,Closed,EA,Clothing,107.36,810
436616,840215-81743,26.1,023809P2,12,Closed,EA,Clothing,170.64,810
436616,840215-81743,27.1,023407P10,4,Closed,EA,Clothing,50.64,810
436616,840215-81743,28.1,024603P10,4,Closed,EA,Clothing,50.88,810
436616,840215-81743,29.1,024604P2,4,Closed,EA,Clothing,44.2,810
436616,840215-81743,30.1,024005P8,4,Closed,EA,Clothing,39.84,810
436616,840215-81743,31.1,024405P2,4,Closed,EA,Clothing,50.08,810
436616,840215-81743,32.1,024004P10,4,Closed,EA,Clothing,33.32,810
436616,840215-81743,33.1,024004P4,4,Closed,EA,Clothing,40.16,810
436616,840215-81743,34.1,024003P10,36,Closed,EA,Clothing,403.92,810
436616,840215-81743,35.1,024210P8,8,Closed,EA,Clothing,81.52,810
436616,840215-81743,36.1,024404P6,4,Closed,EA,Clothing,43.56,810
436616,840215-81743,37.1,023401P4,28,Closed,EA,Clothing,294,810
436616,840215-81743,38.1,023410P6,20,Closed,EA,Clothing,269.6,810
436616,840215-81743,39.1,024001P4,16,Closed,EA,Clothing,181.92,810
436616,840215-81743,40.1,024001P10,12,Closed,EA,Clothing,175.56,810
436616,840215-81743,41.1,023610P0,12,Closed,EA,Clothing,184.44,810
436616,840215-81743,42.1,023802P6,4,Closed,EA,Clothing,58.68,810
436616,840215-81743,43.1,023803P2,8,Closed,EA,Clothing,121.04,810
436616,840215-81743,44.1,024602P4,16,Closed,EA,Clothing,276.64,810
436616,840215-81743,45.1,#N/A,2,Closed,EA,Sundry Line,60.92,810
436616,840215-81743,46.1,024008P8,4,Closed,EA,Clothing,54.68,810
436616,840215-81743,47.1,024009P0,4,Closed,EA,Clothing,51.24,810
436616,840215-81743,48.1,024407P6,8,Closed,EA,Clothing,90.4,810
436616,840215-81743,49.1,023603P10,8,Closed,EA,Clothing,75.12,810
436616,840215-81743,50.1,024202P2,4,Closed,EA,Clothing,38.56,810
436616,840215-81743,51.1,024410P4,8,Closed,EA,Clothing,98.32,810
436616,840215-81743,52.1,024407P0,8,Closed,EA,Clothing,103.76,810
436616,840215-81743,53.1,023802P10,4,Closed,EA,Clothing,54.44,810
436616,840215-81743,54.1,024409P8,8,Closed,EA,Clothing,71.12,810
436616,840215-81743,55.1,024409P2,16,Closed,EA,Clothing,158.72,810
436616,840215-81743,56.1,024408P8,8,Closed,EA,Clothing,91.52,810
436616,840215-81743,57.1,024408P2,4,Closed,EA,Clothing,49.08,810
436616,840215-81743,58.1,023605P0,8,Closed,EA,Clothing,102.64,810
436616,840215-81743,59.1,024601P00,20,Closed,EA,Clothing,192.8,810
436616,840215-81743,60.1,024203P6,12,Closed,EA,Clothing,155.4,810
436616,840215-81743,61.1,023607P2,8,Closed,EA,Clothing,119.84,810
436616,840215-81743,62.1,023608P0,8,Closed,EA,Clothing,116.96,810
436616,840215-81743,63.1,023606P8,4,Closed,EA,Clothing,48.96,810
436616,840215-81743,64.1,023804P0,8,Closed,EA,Clothing,114.96,810
436616,840215-81743,65.1,023409P10,4,Closed,EA,Clothing,37.68,810
436616,840215-81743,66.1,024002P4,8,Closed,EA,Clothing,93.68,810
436616,840215-81743,67.1,023609P2,16,Closed,EA,Clothing,246.72,810
436616,840215-81743,68.1,023609P6,4,Closed,EA,Clothing,61.8,810
436616,840215-81743,69.1,024602P0,4,Closed,EA,Clothing,54.36,810
436616,840215-81743,70.1,024603P0,4,Closed,EA,Clothing,72.64,810
436616,840215-81743,71.1,024602P8,4,Closed,EA,Clothing,59.52,810
436616,840215-81743,72.1,023410P2,12,Closed,EA,Clothing,162.6,810
436616,840215-81743,73.1,023407P6,8,Closed,EA,Clothing,104.16,810
436616,840215-81743,74.1,023407P2,4,Closed,EA,Clothing,51.8,810
436616,840215-81743,75.1,023804P6,4,Closed,EA,Clothing,54.6,810
436616,840215-81743,76.1,023406P6,4,Closed,EA,Clothing,51.64,810
436616,840215-81743,77.1,023402P0,20,Closed,EA,Clothing,213,810
436616,840215-81743,78.1,023401P8,16,Closed,EA,Clothing,169.44,810
436616,840215-81743,79.1,023603P4,8,Closed,EA,Clothing,100.64,810
436616,840215-81743,80.1,023603P8,8,Closed,EA,Clothing,101.12,810
436616,840215-81743,81.1,023601P6,4,Closed,EA,Clothing,44.76,810
436616,840215-81743,82.1,023601P10,4,Closed,EA,Clothing,42.48,810
436616,840215-81743,83.1,023601P2,8,Closed,EA,Clothing,105.84,810
436616,840215-81743,84.1,023608P10,12,Closed,EA,Clothing,185.52,810
436616,840215-81743,85.1,024605P10,8,Closed,EA,Clothing,97.68,810
436616,840215-81743,86.1,023804P10,4,Closed,EA,Clothing,51,810
436616,840215-81743,87.1,024607P6,4,Closed,EA,Clothing,45.24,810
436616,840215-81743,88.1,024609P2,4,Closed,EA,Clothing,57.32,810
436616,840215-81743,89.1,024602P10,3,Closed,EA,Clothing,41.67,810
436616,840215-81743,89.2,024602P10,0,Cancelled,EA,Clothing,0,810
436616,840215-81743,90.1,023410P8,3,Closed,EA,Clothing,179.52,810
436616,840215-81743,91.1,023601P8,2,Closed,EA,Clothing,100.36,810
436616,840215-81743,92.1,023603P6,6,Closed,EA,Clothing,342.72,810
436616,840215-81743,93.1,023803P4,6,Closed,EA,Clothing,419.46,810
436616,840215-81743,94.1,023610P4,3,Closed,EA,Clothing,215.61,810
436616,840215-81743,95.1,023609P4,3,Closed,EA,Clothing,213.99,810
436616,840215-81743,96.1,024001P6,9,Closed,EA,Clothing,459.54,810
436616,840215-81743,97.1,023806P8,8,Closed,EA,Clothing,121.36,810
436616,840215-81743,98.1,024002P6,3,Closed,EA,Clothing,158.37,810
436616,840215-81743,99.1,023403P2,3,Closed,EA,Clothing,186.45,810
436616,840215-81743,100.1,023407P8,3,Closed,EA,Clothing,177.9,810
436616,840215-81743,101.1,023407P4,6,Closed,EA,Clothing,353.94,810
436616,840215-81743,102.1,023401P2,6,Closed,EA,Clothing,281.88,810
436616,840215-81743,103.1,023808P10,15,Closed,EA,Clothing,903.3,810
436616,840215-81743,104.1,023808P0,6,Closed,EA,Clothing,373.86,810
436616,840215-81743,105.1,024210P6,4,Closed,EA,Clothing,170,810
436616,840215-81743,106.1,024404P0,3,Closed,EA,Clothing,132.27,810
436616,840215-81743,107.1,024004P2,18,Closed,EA,Clothing,906.3,810
436616,840215-81743,108.1,023807P0,4,Closed,EA,Clothing,57.88,810
436616,840215-81743,109.1,023809P4,9,Closed,EA,Clothing,588.42,810
436616,840215-81743,110.1,023810P4,3,Closed,EA,Clothing,204.72,810
436616,840215-81743,111.1,023610P8,3,Closed,EA,Clothing,204.45,810
436616,840215-81743,112.1,024403P6,6,Closed,EA,Clothing,431.7,810
436616,840215-81743,113.1,023803P10,3,Closed,EA,Clothing,207.12,810
436616,840215-81743,114.1,023804P8,3,Closed,EA,Clothing,187.62,810
436616,840215-81743,115.1,023805P8,3,Closed,EA,Clothing,206.85,810
436616,840215-81743,116.1,023806P10,6,Closed,EA,Clothing,420.78,810
436616,840215-81743,117.1,024008P10,2,Closed,EA,Clothing,125.26,810
436616,840215-81743,118.1,024407P8,9,Closed,EA,Clothing,456.84,810
436770,840174-81901,1.1,023807P8,6,Closed,EA,Clothing,310.92,812
436770,840174-81901,2.1,023808P0,6,Closed,EA,Clothing,373.86,812
436770,840174-81901,3.1,023808P10,6,Closed,EA,Clothing,361.32,812
436770,840174-81901,4.1,024410P0,12,Closed,EA,Clothing,464.4,812
436770,840174-81901,5.1,024410P8,9,Closed,EA,Clothing,501.3,812
436770,840174-81901,6.1,024407P4,15,Closed,EA,Clothing,692.7,812
436770,840174-81901,7.1,023609P0,3,Closed,EA,Clothing,207.51,812
436770,840174-81901,8.1,023405P2,6,Closed,EA,Clothing,314.94,812
436770,840174-81901,9.1,024210P10,72,Closed,EA,Clothing,"3,226.32",812
436770,840174-81901,10.1,024407P8,72,Closed,EA,Clothing,"3,654.72",812
436770,840174-81901,11.1,023401P4,8,Closed,EA,Clothing,84,812
436770,840174-81901,12.1,023410P2,12,Closed,EA,Clothing,162.6,812
436770,840174-81901,13.1,023410P6,12,Closed,EA,Clothing,161.76,812
436770,840174-81901,14.1,023808P6,12,Closed,EA,Clothing,158.28,812
436770,840174-81901,15.1,023610P0,28,Closed,EA,Clothing,430.36,812
436770,840174-81901,16.1,024408P2,8,Closed,EA,Clothing,98.16,812
436770,840174-81901,17.1,024407P2,12,Closed,EA,Clothing,124.56,812
436770,840174-81901,18.1,023610P6,20,Closed,EA,Clothing,295.6,812
436770,840174-81901,19.1,023610P10,12,Closed,EA,Clothing,162.36,812
436770,840174-81901,20.1,023403P8,120,Closed,EA,Clothing,"1,567.20",812
436770,840174-81901,21.1,023409P2,4,Closed,EA,Clothing,47.96,812
436770,840174-81901,22.1,023404P4,4,Closed,EA,Clothing,48.32,812
436770,840174-81901,23.1,024604P00,12,Closed,EA,Clothing,175.44,812
436770,840174-81901,24.1,023606P8,16,Closed,EA,Clothing,195.84,812
436770,840174-81901,25.1,023809P10,4,Closed,EA,Clothing,46.88,812
436770,840174-81901,26.1,023802P2,8,Closed,EA,Clothing,114.88,812
436770,840174-81901,27.1,023804P0,4,Closed,EA,Clothing,57.48,812
436770,840174-81901,28.1,023804P10,8,Closed,EA,Clothing,102,812
436770,840174-81901,29.1,023402P8,4,Closed,EA,Clothing,29.84,812
436770,840174-81901,30.1,024406P2,12,Closed,EA,Clothing,127.32,812
436770,840174-81901,31.1,024202P6,12,Closed,EA,Clothing,146.88,812
436770,840174-81901,32.1,023604P4,4,Closed,EA,Clothing,35.56,812
436770,840174-81901,33.1,024203P10,8,Closed,EA,Clothing,84.88,812
436770,840174-81901,34.1,#N/A,8,Closed,EA,Sundry Line,105.68,812
436770,840174-81901,35.1,#N/A,0,Cancelled,EA,Clothing,0,812
436770,840174-81901,36.1,024006P2,8,Closed,EA,Clothing,113.52,812
436770,840174-81901,37.1,023807P4,8,Closed,EA,Clothing,90.24,812
436770,840174-81901,38.1,024003P0,4,Closed,EA,Clothing,40.04,812
436770,840174-81901,39.1,024003P8,4,Closed,EA,Clothing,36.36,812
436770,840174-81901,40.1,#N/A,8,Closed,EA,Sundry Line,167.76,812
436770,840174-81901,41.1,#N/A,8,Closed,EA,Sundry Line,167.76,812
436770,840174-81901,42.1,024601P4,8,Closed,EA,Clothing,137.6,812
436770,840174-81901,43.1,024607P2,4,Closed,EA,Clothing,47.8,812
436770,840174-81901,44.1,024408P10,9,Closed,EA,Clothing,30.6,812
436770,840174-81901,45.1,023608P2,9,Closed,EA,Clothing,37.8,812
436770,840174-81901,46.1,023804P2,9,Closed,EA,Clothing,37.17,812
436770,840174-81901,47.1,023803P8,9,Closed,EA,Clothing,38.52,812
436770,840174-81901,48.1,024009P4,18,Closed,EA,Clothing,69.66,812
436770,840174-81901,49.1,024009P8,18,Closed,EA,Clothing,56.88,812
436770,840174-81901,50.1,023401P6,36,Closed,EA,Clothing,"1,681.56",812
436770,840174-81901,51.1,023402P2,8,Closed,EA,Clothing,379.68,812
436770,840174-81901,52.1,023406P8,12,Closed,EA,Clothing,705.48,812
436770,840174-81901,53.1,023407P0,6,Closed,EA,Clothing,351.18,812
436770,840174-81901,54.1,023403P6,6,Closed,EA,Clothing,375.12,812
436770,840174-81901,55.1,024607P4,6,Closed,EA,Clothing,324.06,812
436770,840174-81901,56.1,024008P10,6,Closed,EA,Clothing,375.78,812
436770,840174-81901,57.1,024202P4,6,Closed,EA,Clothing,254.82,812
436598,840177-81703,1.1,#N/A,0,Cancelled,EA,Clothing,0,216
436598,840177-81703,2.1,024004P2,2,Closed,EA,Clothing,100.7,216
436598,840177-81703,3.1,024205P6,2,Closed,EA,Clothing,82.54,216
436598,840177-81703,4.1,#N/A,8,Closed,EA,Sundry Line,163.84,216
436598,840177-81703,5.1,023606P10,9,Closed,EA,Clothing,32.4,216
436598,840177-81703,6.1,023606P0,9,Closed,EA,Clothing,33.75,216
436598,840177-81703,7.1,023801P8,8,Closed,EA,Clothing,119.2,216
436598,840177-81703,8.1,024409P2,16,Closed,EA,Clothing,158.72,216
436598,840177-81703,9.1,023605P0,4,Closed,EA,Clothing,51.32,216
436598,840177-81703,10.1,024202P6,4,Closed,EA,Clothing,48.96,216
436598,840177-81703,11.1,023610P10,16,Closed,EA,Clothing,216.48,216
436598,840177-81703,12.1,024403P6,2,Closed,EA,Clothing,143.9,216
436598,840177-81703,13.1,023407P10,16,Closed,EA,Clothing,202.56,216
436598,840177-81703,14.1,024003P10,8,Closed,EA,Clothing,89.76,216
436598,840177-81703,15.1,023401P6,4,Closed,EA,Clothing,186.84,216
436598,840177-81703,16.1,024006P6,2,Closed,EA,Clothing,122.76,216
436598,840177-81703,17.1,024405P6,2,Closed,EA,Clothing,109.02,216
436598,840177-81703,18.1,024204P4,4,Closed,EA,Clothing,230.68,216
436598,840177-81703,19.1,023607P0,4,Closed,EA,Clothing,221.8,216
436598,840177-81703,20.1,024202P4,6,Closed,EA,Clothing,254.82,216
436598,840177-81703,21.1,023405P2,6,Closed,EA,Clothing,314.94,216
436598,840177-81703,22.1,023402P6,2,Closed,EA,Clothing,84.28,216
436598,840177-81703,23.1,024404P8,4,Closed,EA,Clothing,60.04,216
436598,840177-81703,24.1,023408P0,8,Closed,EA,Clothing,460.56,216
436598,840177-81703,25.1,023803P2,12,Closed,EA,Clothing,181.56,216
436598,840177-81703,26.1,023808P6,16,Closed,EA,Clothing,211.04,216
436598,840177-81703,27.1,024202P10,9,Closed,EA,Clothing,34.02,216
436598,840177-81703,28.1,024210P8,24,Closed,EA,Clothing,244.56,216
436598,840177-81703,29.1,#N/A,18,Closed,EA,Sundry Line,246.96,216
436598,840177-81703,30.1,#N/A,24,Closed,EA,Sundry Line,270.96,216
436598,840177-81703,31.1,023802P4,9,Closed,EA,Clothing,37.17,216
436598,840177-81703,32.1,024008P8,4,Closed,EA,Clothing,54.68,216
436598,840177-81703,33.1,023603P10,4,Closed,EA,Clothing,37.56,216
436598,840177-81703,34.1,023809P10,16,Closed,EA,Clothing,187.52,216
436598,840177-81703,35.1,023409P6,4,Closed,EA,Clothing,44.88,216
436598,840177-81703,36.1,023406P6,4,Closed,EA,Clothing,51.64,216
436598,840177-81703,37.1,024403P10,4,Closed,EA,Clothing,39.84,216
436598,840177-81703,38.1,024009P4,27,Closed,EA,Clothing,104.49,216
436598,840177-81703,39.1,024602P8,0,Cancelled,EA,Clothing,0,216
436598,840177-81703,40.1,024405P0,4,Closed,EA,Clothing,50.48,216
436598,840177-81703,41.1,023810P6,4,Closed,EA,Clothing,53.68,216
436598,840177-81703,42.1,024002P2,4,Closed,EA,Clothing,58.88,216
