Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location												
435997	1.1	023407P10	12	Closed	EA	12.66	Hurst Price List	Paint Line	0	12	12.66	151.92	7/3/2019 0:00	DC1	604												
435997	2.1	023610P6	8	Closed	EA	14.78	Hurst Price List	Paint Line	0	8	14.78	118.24	7/3/2019 0:00	DC1	604												
435997	3.1	024003P10	16	Closed	EA	11.22	Hurst Price List	Paint Line	0	16	11.22	179.52	7/3/2019 0:00	DC1	604												
435997	4.1	#N/A	4	Closed	EA	20.97	Hurst Price List	Sundry Line	0	4	20.97	83.88	7/3/2019 0:00	DC1	604												
435997	5.1	#N/A	4	Closed	EA	21.5	Hurst Price List	Sundry Line	0	4	21.5	86	7/3/2019 0:00	DC1	604												
435997	6.1	#N/A	0	Cancelled	EA	23.02	Hurst Price List	Sundry Line	12		23.02	0	7/3/2019 0:00	DC1	604												
435997	7.1	#N/A	0	Cancelled	EA	23.02	Hurst Price List	Sundry Line	4		23.02	0	7/3/2019 0:00	DC1	604												
435997	8.1	023401P0	8	Closed	EA	10.55	Hurst Price List	Paint Line	0	8	10.55	84.4	7/3/2019 0:00	DC1	604												
435997	9.1	023401P8	8	Closed	EA	10.59	Hurst Price List	Paint Line	0	8	10.59	84.72	7/3/2019 0:00	DC1	604												
435997	10.1	023803P6	16	Closed	EA	14.95	Hurst Price List	Paint Line	0	16	14.95	239.2	7/3/2019 0:00	DC1	604												
435997	11.1	023609P2	12	Closed	EA	15.42	Hurst Price List	Paint Line	0	12	15.42	185.04	7/3/2019 0:00	DC1	604												
435997	12.1	024001P10	16	Closed	EA	14.63	Hurst Price List	Paint Line	0	16	14.63	234.08	7/3/2019 0:00	DC1	604												
435997	13.1	023809P2	8	Closed	EA	14.22	Hurst Price List	Paint Line	0	8	14.22	113.76	7/3/2019 0:00	DC1	604												
435997	14.1	023805P0	9	Closed	EA	3.73	Hurst Price List	Paint Line	0	9	3.73	33.57	7/3/2019 0:00	DC1	604												
435997	15.1	024009P4	9	Closed	EA	3.87	Hurst Price List	Paint Line	0	9	3.87	34.83	7/3/2019 0:00	DC1	604												
435997	16.1	024009P10	9	Closed	EA	2.97	Hurst Price List	Paint Line	0	9	2.97	26.73	7/3/2019 0:00	DC1	604												
435997	17.1	#N/A	6	Closed	EA	13.72	Hurst Price List	Sundry Line	0	6	13.72	82.32	7/3/2019 0:00	DC1	604												
435997	18.1	#N/A	4	Closed	EA	23.36	Hurst Price List	Sundry Line	0	4	23.36	93.44	7/3/2019 0:00	DC1	604												
435997	19.1	#N/A	0	Cancelled	EA	5.68	Hurst Price List	Sundry Line	6		5.68	0	7/3/2019 0:00	DC1	604												
435997	20.1	#N/A	0	Cancelled	EA	11.29	Hurst Price List	Sundry Line	6		11.29	0	7/3/2019 0:00	DC1	604												
435997	21.1	#N/A	6	Closed	EA	18.49	Hurst Price List	Sundry Line	0	6	18.49	110.94	7/3/2019 0:00	DC1	604												
435997	22.1	#N/A	6	Closed	EA	10.72	Hurst Price List	Sundry Line	0	6	10.72	64.32	7/3/2019 0:00	DC1	604												
435997	23.1	023809P4	12	Closed	EA	65.38	Hurst Price List	Paint Line	0	12	65.38	784.56	7/3/2019 0:00	DC1	604												
435997	24.1	024001P2	3	Closed	EA	51.25	Hurst Price List	Paint Line	0	3	51.25	153.75	7/3/2019 0:00	DC1	604												
435997	25.1	024001P0	8	Closed	EA	11.4	Hurst Price List	Paint Line	0	8	11.4	91.2	7/3/2019 0:00	DC1	604												
435997	26.1	024001P4	12	Closed	EA	11.37	Hurst Price List	Paint Line	0	12	11.37	136.44	7/3/2019 0:00	DC1	604												
435997	27.1	024004P2	18	Closed	EA	50.35	Hurst Price List	Paint Line	0	18	50.35	906.3	7/3/2019 0:00	DC1	604												
435997	28.1	024004P8	3	Closed	EA	44.47	Hurst Price List	Paint Line	0	3	44.47	133.41	7/3/2019 0:00	DC1	604												
435997	29.1	023401P2	3	Closed	EA	46.98	Hurst Price List	Paint Line	0	3	46.98	140.94	7/3/2019 0:00	DC1	604												
435997	30.1	023808P6	16	Closed	EA	13.19	Hurst Price List	Paint Line	0	16	13.19	211.04	7/3/2019 0:00	DC1	604												
435997	31.1	024210P10	18	Closed	EA	44.81	Hurst Price List	Paint Line	0	18	44.81	806.58	7/3/2019 0:00	DC1	604												
435997	32.1	023405P2	6	Closed	EA	52.49	Hurst Price List	Paint Line	0	6	52.49	314.94	7/3/2019 0:00	DC1	604												
435997	33.1	023403P10	9	Closed	EA	59.57	Hurst Price List	Paint Line	0	9	59.57	536.13	7/3/2019 0:00	DC1	604												
