Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location	Secondary Shipping Qty
437845	1.1	023405P2	16	Picked	EA	52.49	Hurst Price List	Paint Line	0		52.49	839.84	8/2/2019 0:00	DC1	208	210
437845	2.1	023408P4	7	Picked	EA	52.47	Hurst Price List	Paint Line	0		52.47	367.29	8/2/2019 0:00	DC1	208	210
437845	3.1	023402P4	4	Picked	EA	50.47	Hurst Price List	Paint Line	0		50.47	201.88	8/2/2019 0:00	DC1	208	210
437845	4.1	024210P10	10	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	448.1	8/2/2019 0:00	DC1	208	210
437845	5.1	024210P6	36	Picked	EA	42.5	Hurst Price List	Paint Line	0		42.5	1,530.00	8/2/2019 0:00	DC1	208	210
437845	6.1	024205P6	36	Picked	EA	41.27	Hurst Price List	Paint Line	0		41.27	1,485.72	8/2/2019 0:00	DC1	208	210
437845	7.1	023607P0	8	Picked	EA	55.45	Hurst Price List	Paint Line	0		55.45	443.6	8/2/2019 0:00	DC1	208	210
437845	8.1	024204P6	5	Picked	EA	47.34	Hurst Price List	Paint Line	0		47.34	236.7	8/2/2019 0:00	DC1	208	210
437845	9.1	024410P8	36	Picked	EA	55.7	Hurst Price List	Paint Line	0		55.7	2,005.20	8/2/2019 0:00	DC1	208	210
437845	10.1	024407P4	36	Picked	EA	46.18	Hurst Price List	Paint Line	0		46.18	1,662.48	8/2/2019 0:00	DC1	208	210
437845	11.1	024603P00	36	Picked	EA	42.47	Hurst Price List	Paint Line	0		42.47	1,528.92	8/2/2019 0:00	DC1	208	210
437845	12.1	024410P0	5	Picked	EA	38.7	Hurst Price List	Paint Line	0		38.7	193.5	8/2/2019 0:00	DC1	208	210
437845	13.1	024407P10	8	Picked	EA	53.92	Hurst Price List	Paint Line	0		53.92	431.36	8/2/2019 0:00	DC1	208	210
437845	14.1	023604P6	4	Picked	EA	38.7	Hurst Price List	Paint Line	0		38.7	154.8	8/2/2019 0:00	DC1	208	210
437845	15.1	023604P0	4	Picked	EA	41.2	Hurst Price List	Paint Line	0		41.2	164.8	8/2/2019 0:00	DC1	208	210
437845	16.1	024401P10	4	Picked	EA	69.79	Hurst Price List	Paint Line	0		69.79	279.16	8/2/2019 0:00	DC1	208	210
437845	17.1	024009P6	9	Picked	EA	3.74	Hurst Price List	Paint Line	0		3.74	33.66	8/2/2019 0:00	DC1	208	210
437845	18.1	024009P4	9	Picked	EA	3.87	Hurst Price List	Paint Line	0		3.87	34.83	8/2/2019 0:00	DC1	208	210
437845	19.1	023805P6	9	Picked	EA	4.28	Hurst Price List	Paint Line	0		4.28	38.52	8/2/2019 0:00	DC1	208	210
437845	20.1	023805P0	9	Picked	EA	3.73	Hurst Price List	Paint Line	0		3.73	33.57	8/2/2019 0:00	DC1	208	210
437845	21.1	023602P6	8	Picked	EA	13.12	Hurst Price List	Paint Line	0		13.12	104.96	8/2/2019 0:00	DC1	208	210
437845	22.1	023410P6	8	Picked	EA	13.48	Hurst Price List	Paint Line	0		13.48	107.84	8/2/2019 0:00	DC1	208	210
437845	23.1	023401P0	4	Picked	EA	10.55	Hurst Price List	Paint Line	0		10.55	42.2	8/2/2019 0:00	DC1	208	210
437845	24.1	023407P2	4	Picked	EA	12.95	Hurst Price List	Paint Line	0		12.95	51.8	8/2/2019 0:00	DC1	208	210
437845	25.1	024003P0	4	Picked	EA	10.01	Hurst Price List	Paint Line	0		10.01	40.04	8/2/2019 0:00	DC1	208	210
437845	26.1	024601P00	12	Picked	EA	9.64	Hurst Price List	Paint Line	0		9.64	115.68	8/2/2019 0:00	DC1	208	210
437845	27.1	024407P2	16	Picked	EA	10.38	Hurst Price List	Paint Line	0		10.38	166.08	8/2/2019 0:00	DC1	208	210
437845	28.1	024410P4	12	Picked	EA	12.29	Hurst Price List	Paint Line	0		12.29	147.48	8/2/2019 0:00	DC1	208	210
437845	29.1	024407P0	20	Picked	EA	12.97	Hurst Price List	Paint Line	0		12.97	259.4	8/2/2019 0:00	DC1	208	210
437845	30.1	023407P10	4	Picked	EA	12.66	Hurst Price List	Paint Line	0		12.66	50.64	8/2/2019 0:00	DC1	208	210
437845	31.1	024608P0	6	Picked	EA	64.75	Hurst Price List	Paint Line	0		64.75	388.5	8/2/2019 0:00	DC1	208	210
437845	32.1	023403P8	12	Picked	EA	13.06	Hurst Price List	Paint Line	0		13.06	156.72	8/2/2019 0:00	DC1	208	210
437845	33.1	024409P8	8	Picked	EA	8.89	Hurst Price List	Paint Line	0		8.89	71.12	8/2/2019 0:00	DC1	208	210
437845	34.1	024201P2	8	Picked	EA	12	Hurst Price List	Paint Line	0		12	96	8/2/2019 0:00	DC1	208	210
437845	35.1	024201P6	4	Picked	EA	11.43	Hurst Price List	Paint Line	0		11.43	45.72	8/2/2019 0:00	DC1	208	210
437845	36.1	024003P10	4	Picked	EA	11.22	Hurst Price List	Paint Line	0		11.22	44.88	8/2/2019 0:00	DC1	208	210
437845	37.1	024210P8	16	Picked	EA	10.19	Hurst Price List	Paint Line	0		10.19	163.04	8/2/2019 0:00	DC1	208	210
437845	38.1	024403P10	4	Picked	EA	9.96	Hurst Price List	Paint Line	0		9.96	39.84	8/2/2019 0:00	DC1	208	210
437845	39.1	023405P0	8	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	93.12	8/2/2019 0:00	DC1	208	210
437845	40.1	023405P4	4	Picked	EA	11.24	Hurst Price List	Paint Line	0		11.24	44.96	8/2/2019 0:00	DC1	208	210
437845	41.1	023408P2	12	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	139.68	8/2/2019 0:00	DC1	208	210
437845	42.1	024604P0	6	Picked	EA	57.87	Hurst Price List	Paint Line	0		57.87	347.22	8/2/2019 0:00	DC1	208	210
437845	43.1	023408P6	8	Picked	EA	9.75	Hurst Price List	Paint Line	0		9.75	78	8/2/2019 0:00	DC1	208	210
437845	44.1	023408P10	8	Picked	EA	10.71	Hurst Price List	Paint Line	0		10.71	85.68	8/2/2019 0:00	DC1	208	210
437845	45.1	023409P2	4	Picked	EA	11.99	Hurst Price List	Paint Line	0		11.99	47.96	8/2/2019 0:00	DC1	208	210
437845	46.1	023409P6	4	Picked	EA	11.22	Hurst Price List	Paint Line	0		11.22	44.88	8/2/2019 0:00	DC1	208	210
437845	47.1	023610P6	8	Picked	EA	14.78	Hurst Price List	Paint Line	0		14.78	118.24	8/2/2019 0:00	DC1	208	210
437845	48.1	024407P6	8	Picked	EA	11.3	Hurst Price List	Paint Line	0		11.3	90.4	8/2/2019 0:00	DC1	208	210
437845	49.1	023603P10	4	Picked	EA	9.39	Hurst Price List	Paint Line	0		9.39	37.56	8/2/2019 0:00	DC1	208	210
437845	50.1	023604P4	4	Picked	EA	8.89	Hurst Price List	Paint Line	0		8.89	35.56	8/2/2019 0:00	DC1	208	210
437845	51.1	024408P0	12	Picked	EA	11.93	Hurst Price List	Paint Line	0		11.93	143.16	8/2/2019 0:00	DC1	208	210
437845	52.1	024202P2	8	Picked	EA	9.64	Hurst Price List	Paint Line	0		9.64	77.12	8/2/2019 0:00	DC1	208	210
437845	53.1	024604P4	6	Picked	EA	49.53	Hurst Price List	Paint Line	0		49.53	297.18	8/2/2019 0:00	DC1	208	210
437845	54.1	023605P0	4	Picked	EA	12.83	Hurst Price List	Paint Line	0		12.83	51.32	8/2/2019 0:00	DC1	208	210
437845	55.1	023607P8	8	Picked	EA	9.43	Hurst Price List	Paint Line	0		9.43	75.44	8/2/2019 0:00	DC1	208	210
437845	56.1	023606P8	12	Picked	EA	12.24	Hurst Price List	Paint Line	0		12.24	146.88	8/2/2019 0:00	DC1	208	210
437845	57.1	023605P10	8	Picked	EA	12.83	Hurst Price List	Paint Line	0		12.83	102.64	8/2/2019 0:00	DC1	208	210
437845	58.1	024204P0	4	Picked	EA	9.65	Hurst Price List	Paint Line	0		9.65	38.6	8/2/2019 0:00	DC1	208	210
437845	59.1	024203P8	4	Picked	EA	12.68	Hurst Price List	Paint Line	0		12.68	50.72	8/2/2019 0:00	DC1	208	210
437845	60.1	024202P6	4	Picked	EA	12.24	Hurst Price List	Paint Line	0		12.24	48.96	8/2/2019 0:00	DC1	208	210
437845	61.1	024204P10	8	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	93.12	8/2/2019 0:00	DC1	208	210
437845	62.1	023807P10	12	Picked	EA	13.61	Hurst Price List	Paint Line	0		13.61	163.32	8/2/2019 0:00	DC1	208	210
437845	63.1	024604P8	6	Picked	EA	44.05	Hurst Price List	Paint Line	0		44.05	264.3	8/2/2019 0:00	DC1	208	210
437845	64.1	023407P0	13	Picked	EA	58.53	Hurst Price List	Paint Line	0		58.53	760.89	8/2/2019 0:00	DC1	208	210
437845	65.1	023608P8	2	Picked	EA	51.94	Hurst Price List	Paint Line	0		51.94	103.88	8/2/2019 0:00	DC1	208	210
437844	1.1	024408P2	16	Picked	EA	12.27	Hurst Price List	Paint Line	0		12.27	196.32	8/2/2019 0:00	DC1	617	619
437844	2.1	024603P8	4	Picked	EA	15.22	Hurst Price List	Paint Line	0		15.22	60.88	8/2/2019 0:00	DC1	617	619
437844	3.1	024602P10	4	Picked	EA	13.89	Hurst Price List	Paint Line	0		13.89	55.56	8/2/2019 0:00	DC1	617	619
437844	4.1	023609P0	6	Picked	EA	69.17	Hurst Price List	Paint Line	0		69.17	415.02	8/2/2019 0:00	DC1	617	619
437844	5.1	024003P2	6	Picked	EA	44.34	Hurst Price List	Paint Line	0		44.34	266.04	8/2/2019 0:00	DC1	617	619
437844	6.1	024004P2	8	Picked	EA	50.35	Hurst Price List	Paint Line	0		50.35	402.8	8/2/2019 0:00	DC1	617	619
437844	7.1	023808P10	6	Picked	EA	60.22	Hurst Price List	Paint Line	0		60.22	361.32	8/2/2019 0:00	DC1	617	619
437844	8.1	024001P6	4	Picked	EA	51.06	Hurst Price List	Paint Line	0		51.06	204.24	8/2/2019 0:00	DC1	617	619
437844	9.1	023607P2	8	Picked	EA	14.98	Hurst Price List	Paint Line	0		14.98	119.84	8/2/2019 0:00	DC1	617	619
437844	10.1	024403P6	4	Picked	EA	71.95	Hurst Price List	Paint Line	0		71.95	287.8	8/2/2019 0:00	DC1	617	619
437844	11.1	024210P10	12	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	537.72	8/2/2019 0:00	DC1	617	619
437844	12.1	023803P4	4	Picked	EA	69.91	Hurst Price List	Paint Line	0		69.91	279.64	8/2/2019 0:00	DC1	617	619
437844	13.1	023405P2	8	Picked	EA	52.49	Hurst Price List	Paint Line	0		52.49	419.92	8/2/2019 0:00	DC1	617	619
437844	14.1	023809P2	32	Picked	EA	14.22	Hurst Price List	Paint Line	0		14.22	455.04	8/2/2019 0:00	DC1	617	619
437844	15.1	024402P6	4	Picked	EA	12.37	Hurst Price List	Paint Line	0		12.37	49.48	8/2/2019 0:00	DC1	617	619
437844	16.1	023808P6	24	Picked	EA	13.19	Hurst Price List	Paint Line	0		13.19	316.56	8/2/2019 0:00	DC1	617	619
437844	17.1	023605P8	6	Picked	EA	57.82	Hurst Price List	Paint Line	0		57.82	346.92	8/2/2019 0:00	DC1	617	619
437844	18.1	023806P10	3	Picked	EA	70.13	Hurst Price List	Paint Line	0		70.13	210.39	8/2/2019 0:00	DC1	617	619
437843	1.1	024004P0	9	Picked	EA	3.35	Hurst Price List	Paint Line	0		3.35	30.15	8/2/2019 0:00	DC1	235	237
