Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
441867	1.1	024210P10	28	Closed	EA	44.81	Hurst Price List	Paint Line	0	28	44.81	1,254.68	10/5/2019 0:00	DC1	604
441867	2.1	024008P10	6	Closed	EA	62.63	Hurst Price List	Paint Line	0	6	62.63	375.78	10/5/2019 0:00	DC1	604
441867	3.1	024607P0	8	Closed	EA	14.63	Hurst Price List	Paint Line	0	8	14.63	117.04	10/5/2019 0:00	DC1	604
441867	4.1	024607P2	8	Closed	EA	11.95	Hurst Price List	Paint Line	0	8	11.95	95.6	10/5/2019 0:00	DC1	604
441867	5.1	024607P6	4	Closed	EA	11.31	Hurst Price List	Paint Line	0	4	11.31	45.24	10/5/2019 0:00	DC1	604
441867	6.1	024608P2	4	Closed	EA	17.92	Hurst Price List	Paint Line	0	4	17.92	71.68	10/5/2019 0:00	DC1	604
441867	7.1	024608P10	8	Closed	EA	15.45	Hurst Price List	Paint Line	0	8	15.45	123.6	10/5/2019 0:00	DC1	604
441867	8.1	024609P2	8	Closed	EA	14.33	Hurst Price List	Paint Line	0	8	14.33	114.64	10/5/2019 0:00	DC1	604
441867	9.1	024009P2	3	Closed	EA	58.31	Hurst Price List	Paint Line	0	3	58.31	174.93	10/5/2019 0:00	DC1	604
441867	10.1	024407P8	6	Closed	EA	50.76	Hurst Price List	Paint Line	0	6	50.76	304.56	10/5/2019 0:00	DC1	604
441867	11.1	024407P10	3	Closed	EA	53.92	Hurst Price List	Paint Line	0	3	53.92	161.76	10/5/2019 0:00	DC1	604
441867	12.1	023403P10	6	Closed	EA	59.57	Hurst Price List	Paint Line	0	6	59.57	357.42	10/5/2019 0:00	DC1	604
441867	13.1	024410P0	3	Closed	EA	38.7	Hurst Price List	Paint Line	0	3	38.7	116.1	10/5/2019 0:00	DC1	604
441867	14.1	024408P6	6	Closed	EA	55.64	Hurst Price List	Paint Line	0	6	55.64	333.84	10/5/2019 0:00	DC1	604
441867	15.1	024407P4	6	Closed	EA	46.18	Hurst Price List	Paint Line	0	6	46.18	277.08	10/5/2019 0:00	DC1	604
441867	16.1	024204P2	2	Closed	EA	59.05	Hurst Price List	Paint Line	0	2	59.05	118.1	10/5/2019 0:00	DC1	604
441867	17.1	023809P4	3	Closed	EA	65.38	Hurst Price List	Paint Line	0	3	65.38	196.14	10/5/2019 0:00	DC1	604
441867	18.1	023408P0	12	Closed	EA	57.57	Hurst Price List	Paint Line	0	12	57.57	690.84	10/5/2019 0:00	DC1	604
441867	19.1	023808P0	4	Closed	EA	62.31	Hurst Price List	Paint Line	0	4	62.31	249.24	10/5/2019 0:00	DC1	604
