"","warehouse","site_no","po_no","mfg_cd","description","eaches_qty","date"
"1",701,1403,852115,"024009P4","OrangeLeggingsP4",12,"09302019"
"2",701,1403,852115,"024210P8","TanCasualJacketP8",8,"09302019"
"3",701,1403,852115,"024210P10","TanCasualJacketP10",31,"09302019"
"4",701,1403,852115,"023405P0","GreenDressP0",40,"09302019"
"5",701,1403,852115,"023408P0","PinkDressP0",17,"09302019"
"6",701,1403,852115,"023403P8","BlackDressP8",16,"09302019"
"7",701,1403,852115,"023403P10","BlackDressP10",8,"09302019"
"8",701,1403,852115,"023404P4","BlueDressP4",4,"09302019"
"9",701,1403,852115,"024408P0","PinkSkirtP0",8,"09302019"
"10",701,1403,852115,"024409P10","OrangeSkirtP10",3,"09302019"
"11",701,1403,852115,"024406P10","YellowSkirtP10",4,"09302019"
"12",701,1403,852115,"023610P6","TanBlouseP6",4,"09302019"
"13",701,1403,852115,"023803P6","BlackSlacksP6",12,"09302019"
"14",701,1403,852115,"023803P10","BlackSlacksP10",20,"09302019"
"15",701,1403,852115,"024602P10","WhiteCottonTeeP10",4,"09302019"
"16",701,1403,852115,"023808P2","PinkSlacksP2",2,"09302019"
"17",701,1403,852115,"024403P8","BlackSkirtP8",8,"09302019"
"18",701,1403,852115,"024401P8","RedSkirtP8",4,"09302019"
"19",701,1404,852109,"024009P6","OrangeLeggingsP6",3,"09302019"
"20",701,1404,852109,"024007P2","PurpleLeggingsP2",4,"09302019"
"21",701,1404,852109,"024204P2","BlueCasualJacketP2",3,"09302019"
"22",701,1404,852109,"023801P4","RedSlacksP4",2,"09302019"
"23",701,1404,852109,"023805P6","GreenSlacksP6",3,"09302019"
"24",701,1404,852109,"024204P10","BlueCasualJacketP10",4,"09302019"
"25",701,1405,852103,"023407P10","PurpleDressP10",4,"09302019"
"26",701,1405,852103,"023403P8","BlackDressP8",4,"09302019"
"27",701,1405,852103,"024204P0","BlueCasualJacketP0",4,"09302019"
"28",701,1405,852103,"023605P10","GreenBlouseP10",4,"09302019"
"29",701,1405,852103,"024608P8","PinkCottonTeeP8",2,"09302019"
"30",701,1405,852103,"024609P2","OrangeCottonTeeP2",4,"09302019"
"31",701,1405,852103,"023803P6","BlackSlacksP6",4,"09302019"
"32",701,1405,852103,"023803P8","BlackSlacksP8",6,"09302019"
"33",701,1405,852103,"024201P0","RedCasualJacketP0",29,"09302019"
"34",701,1405,852103,"024205P0","GreenCasualJacketP0",10,"09302019"
"35",701,1405,852103,"024201P2","RedCasualJacketP2",4,"09302019"
"36",701,1405,852103,"024201P6","RedCasualJacketP6",4,"09302019"
"37",701,1405,852103,"024004P6","BlueLeggingsP6",3,"09302019"
"38",701,1405,852103,"024205P6","GreenCasualJacketP6",15,"09302019"
"39",701,1405,852103,NA,NA,4,"09302019"
"40",701,1406,852110,"024210P10","TanCasualJacketP10",9,"09302019"
"41",701,1406,852110,"023408P0","PinkDressP0",13,"09302019"
"42",701,1406,852110,"024203P6","BlackCasualJacketP6",4,"09302019"
"43",701,1406,852110,"024204P6","BlueCasualJacketP6",1,"09302019"
"44",701,1406,852110,"024602P4","WhiteCottonTeeP4",4,"09302019"
"45",701,1406,852110,NA,NA,2,"09302019"
"46",701,1409,852116,"023407P10","PurpleDressP10",4,"09302019"
"47",701,1409,852116,"023408P2","PinkDressP2",4,"09302019"
"48",701,1409,852116,"023403P8","BlackDressP8",4,"09302019"
"49",701,1409,852116,NA,NA,3,"09302019"
"50",701,1409,852116,"024001P8","RedLeggingsP8",9,"09302019"
"51",701,1411,852107,"024009P4","OrangeLeggingsP4",3,"09302019"
"52",701,1411,852107,"023408P0","PinkDressP0",17,"09302019"
"53",701,1411,852107,"023403P8","BlackDressP8",4,"09302019"
"54",701,1411,852107,"023604P4","BlueBlouseP4",4,"09302019"
"55",701,1411,852107,"024602P4","WhiteCottonTeeP4",4,"09302019"
"56",701,1411,852107,"024602P2","WhiteCottonTeeP2",2,"09302019"
"57",701,1411,852107,"024205P0","GreenCasualJacketP0",4,"09302019"
"58",701,1411,852107,"024003P2","BlackLeggingsP2",1,"09302019"
"59",701,1412,852119,"024210P8","TanCasualJacketP8",12,"09302019"
"60",701,1412,852119,"023408P0","PinkDressP0",13,"09302019"
"61",701,1412,852119,"023803P6","BlackSlacksP6",4,"09302019"
"62",701,1412,852119,"024602P4","WhiteCottonTeeP4",12,"09302019"
"63",701,1412,852119,"024602P6","WhiteCottonTeeP6",4,"09302019"
"64",701,1412,852119,NA,NA,2,"09302019"
"65",701,1412,852119,NA,NA,12,"09302019"
"66",701,1412,852119,"023808P4","PinkSlacksP4",1,"09302019"
"67",701,1412,852119,"024008P6","PinkLeggingsP6",6,"09302019"
"68",701,1412,852119,"024605P0","GreenCottonTeeP0",10,"09302019"
"69",701,1412,852119,"024205P0","GreenCasualJacketP0",10,"09302019"
"70",701,1412,852119,"024201P8","RedCasualJacketP8",9,"09302019"
"71",701,1412,852119,"024606P00","YellowCottonTeeP00",17,"09302019"
"72",701,1603,852105,"023405P0","GreenDressP0",4,"09302019"
"73",701,1603,852105,"024205P8","GreenCasualJacketP8",43,"09302019"
"74",701,1604,852113,"024009P4","OrangeLeggingsP4",6,"09302019"
"75",701,1604,852113,"024009P8","OrangeLeggingsP8",3,"09302019"
"76",701,1604,852113,"024210P8","TanCasualJacketP8",4,"09302019"
"77",701,1604,852113,"023405P0","GreenDressP0",4,"09302019"
"78",701,1604,852113,"023408P0","PinkDressP0",6,"09302019"
"79",701,1604,852113,"024407P8","PurpleSkirtP8",5,"09302019"
"80",701,1604,852113,"023806P8","YellowSlacksP8",4,"09302019"
"81",701,1604,852113,NA,NA,3,"09302019"
"82",701,1604,852113,"024201P0","RedCasualJacketP0",7,"09302019"
"83",701,1604,852113,"024204P10","BlueCasualJacketP10",4,"09302019"
"84",701,1604,852113,"024205P0","GreenCasualJacketP0",2,"09302019"
"85",701,1604,852113,"024004P8","BlueLeggingsP8",6,"09302019"
"86",701,1604,852113,"024005P8","GreenLeggingsP8",4,"09302019"
"87",701,1604,852113,"024205P8","GreenCasualJacketP8",11,"09302019"
"88",701,1605,852100,"024604P10","BlueCottonTeeP10",4,"09302019"
"89",701,1605,852100,"024201P0","RedCasualJacketP0",4,"09302019"
"90",701,1605,852100,"024205P2","GreenCasualJacketP2",8,"09302019"
"91",701,1606,852104,"023403P2","BlackDressP2",37,"09302019"
"92",701,1606,852104,"024204P4","BlueCasualJacketP4",2,"09302019"
"93",701,1606,852104,"024204P0","BlueCasualJacketP0",4,"09302019"
"94",701,1606,852104,"024205P8","GreenCasualJacketP8",53,"09302019"
"95",701,1607,852118,"023602P10","WhiteBlouseP10",34,"09302019"
"96",701,1607,852118,"024204P6","BlueCasualJacketP6",17,"09302019"
"97",701,1607,852118,"024608P4","PinkCottonTeeP4",2,"09302019"
