Sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightExtract,2.4,19.1,0,19.1,-2.4,0,0.003693662998558
lightExtract,2.6,19,0,19,-2.6,0,0.003324730001623
lightExtract,2.5,19,0,19,-2.5,0,0.003759863997402
lightExtract,2.4,19,0,19,-2.4,0,0.003813994997472
lightExtract,2.7,19,0,19,-2.7,0,0.003702153000631
lightExtract,2.6,19,0,19,-2.6,0,0.003061153001909
lightExtract,2.4,19,0,19,-2.4,0,0.003714193000633
lightExtract,2.5,19,10,19,7.5,0,0.003719772998011
lightExtract,2.6,19,12.5,19,9.9,0,0.003142711997498
lightExtract,2.5,19,10,19,7.5,0,0.004158932999417
lightExtract,2.5,19,0,19,-2.5,0,0.003079290996538
lightExtract,2.7,19,10,19,7.3,0,0.003848148000543
lightExtract,2.5,19,14.3,19,11.8,0,0.005112111000926
lightExtract,2.7,19,11.1,19,8.4,0,0.003650747996289
lightExtract,2.5,19,0,19,-2.5,0,0.003595232999942
lightExtract,2.7,19,10,19,7.3,0,0.003706479998073
lightExtract,2.9,19,0,19,-2.9,0,0.003812157003267
lightExtract,2.6,19,0,19,-2.6,0,0.004188668994175
lightExtract,2.4,19,0,19,-2.4,0,0.00352479799767
lightExtract,2.6,19,11.1,19,8.5,0,0.003722244997334
lightExtract,2.4,19,0,19,-2.4,0,0.00365329500346
lightExtract,2.6,19,0,19,-2.6,0,0.004146204999415
lightExtract,2.2,19,0,19,-2.2,0,0.003662711998913
lightExtract,2.2,19,0,19,-2.2,0,0.003653373001725
lightExtract,2.2,19,0,19,-2.2,0,0.003653039995697
lightExtract,2.3,19,0,19,-2.3,0,0.003711009005201
lightExtract,2.7,19,0,19,-2.7,0,0.003724602996954
lightExtract,2.5,19,20,19,17.5,0,0.003893786997651
lightExtract,2.5,19,0,19,-2.5,0,0.003637548994448
lightExtract,2.6,19,10,19,7.4,0,0.00402310899517
lightTrans,2.9,19.2,0,19.2,-2.9,0,0.001213413997903
lightTrans,2.9,19.2,0,19.2,-2.9,0,0.000984186997812
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001210118003655
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001349938000203
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001200980004796
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.000985377999314
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.00123998199706
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001170242001535
lightTrans,2.7,19.2,0,19.2,-2.7,0,0.00129981200007
lightTrans,2.6,19.2,0,19.2,-2.6,0,0.001163408996945
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001192543000798
lightTrans,2.6,19.2,0,19.2,-2.6,0,0.001204483996844
lightTrans,2.4,19.2,0,19.2,-2.4,0,0.001186210000014
lightTrans,2.2,19.2,33.3,19.2,31.1,0,0.001196258999698
lightTrans,2.5,19.2,0,19.2,-2.5,0,0.001161765001598
lightTrans,2.4,19.2,0,19.2,-2.4,0,0.001154741999926
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001316351997957
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.000935884003411
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.001172292999399
lightTrans,2.2,19.2,0,19.2,-2.2,0,0.001169237002614
lightTrans,1.9,19.2,25,19.2,23.1,0,0.001320379997196
lightTrans,1.8,19.2,0,19.2,-1.8,0,0.001229249995959
lightTrans,2.3,19.2,0,19.2,-2.3,0,0.000949347995629
lightTrans,2,19.2,0,19.2,-2,0,0.001181139996334
lightTrans,2,19.2,0,19.2,-2,0,0.001184706001368
lightTrans,2,19.2,0,19.2,-2,0,0.00133488499705
lightTrans,2.3,19.2,50,19.2,47.7,0,0.001208970003063
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.00131996699929
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.001314817003731
lightTrans,2.3,18.8,0,18.8,-2.3,0,0.001308395003434
lightTransCU,1.9,19.7,7.1,19.7,5.2,0,0.000848277995829
lightTransCU,1.7,19.7,7.1,19.7,5.4,0,0.00100341799407
lightTransCU,2,19.8,6.7,19.8,4.7,0,0.000973431000602
lightTransCU,1.4,19.8,7.7,19.8,6.3,0,0.00085155400302
lightTransCU,1.5,19.8,7.1,19.8,5.6,0,0.000859979998495
lightTransCU,2,19.8,7.7,19.8,5.7,0,0.000850322001497
lightTransCU,3.1,19.8,7.7,19.8,4.6,0,0.000851313001476
lightTransCU,2.9,19.7,7.7,19.7,4.8,0,0.000905665001483
lightTransCU,2.7,19.7,0,19.7,-2.7,0,0.000507233002281
lightTransCU,1.5,19.7,5.9,19.7,4.4,0,0.000957570999162
lightTransCU,1.6,19.6,0,19.6,-1.6,0,0.000844872003654
lightTransCU,1.8,19.6,10.5,19.6,8.7,0,0.001077705004718
lightTransCU,2.4,19.6,0,19.6,-2.4,0,0.000852886994835
lightTransCU,3.5,19.7,5.9,19.7,2.4,0,0.000908690002689
lightTransCU,2.1,19.7,6.7,19.7,4.6,0,0.000862724002218
lightTransCU,2.1,19.7,0,19.7,-2.1,0,0.000854187994264
lightTransCU,1.9,19.7,7.1,19.7,5.2,0,0.000851333003084
lightTransCU,1.9,19.7,0,19.7,-1.9,0,0.000912757001061
lightTransCU,1.8,19.7,0,19.7,-1.8,0,0.001050364000548
lightTransCU,2.1,19.7,0,19.7,-2.1,0,0.000862283006427
lightTransCU,1.8,19.7,6.7,19.7,4.9,0,0.001711041004455
lightTransCU,1.6,19.7,14.3,19.7,12.7,0,0.00084102400433
lightTransCU,1.7,19.7,12.5,19.7,10.8,0,0.001546555002278
lightTransCU,1.6,19.7,7.1,19.7,5.5,0,0.000697547002346
lightTransCU,1.6,19.7,7.7,19.7,6.1,0,0.00084654300008
lightTransCU,1.7,19.7,15.4,19.7,13.7,0,0.000701535005646
lightTransCU,1.6,19.7,7.7,19.7,6.1,0,0.000848648000101
lightTransCU,1.6,19.7,7.7,19.7,6.1,0,0.000917725999898
lightTransCU,1.7,19.7,0,19.7,-1.7,0,0.000856671998918
lightTransCU,1.8,19.7,0,19.7,-1.8,0,0.000861881999299
lightLoad,1.6,19.6,5.6,19.6,4,0,0.022860518998641
lightLoad,1.9,19.6,3.8,19.6,1.9,0,0.022163400994032
lightLoad,1.6,19.7,2,19.7,0.4,0,0.02163823400042
lightLoad,2.4,19.7,5.7,19.7,3.3,0,0.022158519001096
lightLoad,1.9,19.7,7.4,19.7,5.5,0,0.022360283001035
lightLoad,1.6,19.7,5.6,19.7,4,0,0.022131967998575
lightLoad,1.6,19.7,7.5,19.7,5.9,0,0.022214219003217
lightLoad,1.5,19.7,4.1,19.7,2.6,0,0.021373005998612
lightLoad,1.8,19.7,5.7,19.7,3.9,0,0.022235497002839
lightLoad,1.8,19.7,6.9,19.7,5.1,0,0.054002569995646
lightLoad,2,19.7,5.4,19.7,3.4,0,0.023605730006238
lightLoad,2,19.7,3.7,19.7,1.7,0,0.022409286000766
lightLoad,1.9,19.7,5.9,19.7,4,0,0.021371939001256
lightLoad,2,19.7,12.3,19.7,10.3,0,0.022909423001693
lightLoad,2.6,19.7,6.9,19.7,4.3,0,0.024460503998853
lightLoad,2.3,19.7,5.7,19.7,3.4,0,0.021979823999573
lightLoad,2.3,19.7,3.7,19.7,1.4,0,0.023205331002828
lightLoad,2,19.7,7.1,19.7,5.1,0,0.023078894002538
lightLoad,2.1,19.7,6.9,19.7,4.8,0,0.024065755002084
lightLoad,2.5,19.7,10.2,19.7,7.7,0,0.024325657999725
lightLoad,3,19.7,3.6,19.7,0.6,0,0.023337811006059
lightLoad,2.7,19.7,3.8,19.7,1.1,0,0.022069274993555
lightLoad,2.5,19.7,9.1,19.7,6.6,0,0.023019970998575
lightLoad,2.3,19.7,7.5,19.7,5.2,0,0.021372410003096
lightLoad,2.3,19.7,5.4,19.7,3.1,0,0.022954396001296
lightLoad,2.1,19.7,3.6,19.7,1.5,0,0.023746136001137
lightLoad,2.3,19.7,8.6,19.7,6.3,0,0.023809534002794
lightLoad,2.4,19.7,7,19.7,4.6,0,0.023440987999493
lightLoad,2.7,19.7,3.4,19.7,0.7,0,0.025162003999867
lightLoad,2.6,19.7,7.1,19.7,4.5,0,0.023273474995222
medExtract,3,19.9,7.7,20.1,4.7,0.200000000000003,0.745784707003622
medExtract,3.4,19.9,9.4,19.9,6,0,0.72463599099865
medExtract,2.8,20,8.8,20,6,0,0.744724458003475
medExtract,2.7,19.9,7.8,19.9,5.1,0,0.731731658997887
medExtract,2.5,20,8.7,20,6.2,0,0.759807751994231
medExtract,2.4,20,7.8,20,5.4,0,0.752446049002174
medExtract,2.1,19.9,7.5,20,5.4,0.100000000000001,0.743551432002278
medExtract,1.9,20,7.5,20,5.6,0,0.746835692996683
medExtract,2.2,20,8.7,20,6.5,0,0.755879902004381
medExtract,2.7,20,8.8,20,6.1,0,0.750836580002215
medExtract,2,20,7.9,20,5.9,0,0.751753129996359
medExtract,2.2,20,7.5,19.9,5.3,-0.100000000000001,0.727274395998393
medExtract,2.1,19.9,7.6,19.9,5.5,0,0.718213639003807
medExtract,2.2,19.9,7.4,19.9,5.2,0,0.735342422995018
medExtract,2.4,19.9,8,19.9,5.6,0,0.760465967003256
medExtract,2.3,19.9,7.2,19.9,4.9,0,0.753294609996374
medExtract,2.1,19.9,7.8,19.9,5.7,0,0.724152021000918
medExtract,2,19.9,7.7,19.9,5.7,0,0.746758816996589
medExtract,2.2,19.9,8.1,19.9,5.9,0,0.745241133998206
medExtract,2.3,19.9,7.5,19.9,5.2,0,0.760037183994427
medExtract,2.2,19.9,7.5,19.9,5.3,0,0.739218586000789
medExtract,2.2,19.9,7.9,19.9,5.7,0,0.74783281400596
medExtract,2.1,19.9,7.8,19.9,5.7,0,0.738717724998423
medExtract,2.1,19.9,7.6,19.9,5.5,0,0.757989165998879
medExtract,2.6,19.9,7.7,19.9,5.1,0,0.802511204004986
medExtract,2.3,19.9,7.9,19.9,5.6,0,0.761616459996731
medExtract,2.5,19.9,8.7,19.9,6.2,0,0.811462707999453
medExtract,4.3,20.1,10.3,20.1,6,0,0.790355031000217
medExtract,2.3,20.1,7.7,20.1,5.4,0,0.772613137000008
medExtract,2.5,20.1,7.9,20.1,5.4,0,0.744689669001673
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.132397307002975
medTrans,2.3,20.2,5.1,20.2,2.8,0,0.133434666000539
medTrans,2.2,20.2,6.8,20.2,4.6,0,0.131670232003671
medTrans,2.3,20.2,6.8,20.2,4.5,0,0.132360611001786
medTrans,2.2,20.2,6,20.2,3.8,0,0.133731588000956
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.130935288005276
medTrans,2.4,20.2,7.6,20.2,5.2,0,0.134700296999654
medTrans,2.6,20.2,7.4,20.2,4.8,0,0.131620186002692
medTrans,2,20.2,6.1,20.2,4.1,0,0.138833133001754
medTrans,2.4,20.2,7.8,20.2,5.4,0,0.13038005099952
medTrans,2.4,20.2,5.7,20.2,3.3,0,0.132676698995056
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.131421297999623
medTrans,2.4,20.2,5.3,20.2,2.9,0,0.135613047001243
medTrans,2.2,20.2,5.7,20.2,3.5,0,0.133845815995301
medTrans,2.1,20.2,7,20.2,4.9,0,0.133687520006788
medTrans,1.9,20.2,5.7,20.2,3.8,0,0.133121021994157
medTrans,1.9,20.2,5.7,20.2,3.8,0,0.13410670599842
medTrans,2,20.2,6.2,20.2,4.2,0,0.131355088997225
medTrans,2.3,20.2,7,20.2,4.7,0,0.134530986004393
medTrans,2.1,20.2,7.3,20.2,5.2,0,0.134383241005708
medTrans,2,20.2,6.2,20.2,4.2,0,0.136543911001354
medTrans,2.2,20.2,6.6,20.2,4.4,0,0.135380347994214
medTrans,2.2,20.2,5.9,20.2,3.7,0,0.136588904999371
medTrans,2.1,20.2,5.4,20.2,3.3,0,0.134228493996488
medTrans,2,20.2,6.6,20.2,4.6,0,0.135105474000739
medTrans,2.3,20.2,6.2,20.2,3.9,0,0.131568404998689
medTrans,2.2,20.2,6,20.2,3.8,0,0.133180285003618
medTrans,2.3,20.2,6.3,20.2,4,0,0.153092157997889
medTrans,2.1,20.2,7.8,20.2,5.7,0,0.135813061999215
medTrans,2,20.2,5.9,20.2,3.9,0,0.137618931999896
medTransCU,2.1,21.1,0,21.1,-2.1,0,0.002605620000395
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.002640264996444
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.003506781002216
medTransCU,1.8,21.1,14.3,21.1,12.5,0,0.002693754002394
medTransCU,1.6,21.1,12.5,21.1,10.9,0,0.003275885996118
medTransCU,1.5,21.1,0,21.1,-1.5,0,0.002276450002682
medTransCU,1.9,21.1,14.3,21.1,12.4,0,0.002700204997382
medTransCU,1.8,21.1,0,21.1,-1.8,0,0.002892946002248
medTransCU,1.7,21.1,20,21.1,18.3,0,0.003271435998613
medTransCU,1.8,21.1,0,21.1,-1.8,0,0.002948751003714
medTransCU,1.9,21.1,0,21.1,-1.9,0,0.002786324999761
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.002741571996012
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.003210951996152
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.003090947000601
medTransCU,2,21.1,14.3,21.1,12.3,0,0.002783998999803
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.002745077996224
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.003633011998318
medTransCU,1.4,21.1,0,21.1,-1.4,0,0.002735879003012
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.002735538997513
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.002835333994881
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.002843198999472
medTransCU,1.9,21.1,0,21.1,-1.9,0,0.003392498001631
medTransCU,1.8,21.1,0,21.1,-1.8,0,0.002989915003127
medTransCU,1.8,21.1,0,21.1,-1.8,0,0.002789409001707
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.003246154999943
medTransCU,1.8,21.1,0,21.1,-1.8,0,0.002725587997702
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.002711932000238
medTransCU,1.7,21.1,0,21.1,-1.7,0,0.003010532003827
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.003091481994488
medTransCU,1.6,21.1,0,21.1,-1.6,0,0.00282858099672
medLoad,1.9,23.1,6.5,23.3,4.6,0.199999999999999,5.15765657199518
medLoad,2.2,23.3,6.5,24.6,4.3,1.3,5.19716258299741
medLoad,2.1,24.6,6.3,25.4,4.2,0.799999999999997,5.28834371599805
medLoad,2.2,25.4,6.1,26.1,3.9,0.700000000000003,5.19801888399525
medLoad,2.1,26.1,6.3,26.9,4.2,0.799999999999997,5.36515080100071
medLoad,1.9,26.8,6.1,27.6,4.2,0.800000000000001,5.21448502199928
medLoad,1.9,27.6,6.2,28.4,4.3,0.799999999999997,5.08808978799789
medLoad,2.5,28.4,6.1,29.1,3.6,0.700000000000003,5.16810136700224
medLoad,2.2,29.1,6.3,29.7,4.1,0.599999999999998,5.35737131500355
medLoad,1.8,29.7,6,30.4,4.2,0.699999999999999,5.16953668500355
medLoad,1.9,30.4,6.2,31,4.3,0.600000000000001,5.2560914429996
medLoad,1.7,31,6,31.7,4.3,0.699999999999999,5.23476531699998
medLoad,2,31.7,6.1,32.3,4.1,0.599999999999998,5.34557478700299
medLoad,1.8,32.3,6.6,33,4.8,0.700000000000003,5.30745861799369
medLoad,2.1,33,6.2,33.6,4.1,0.600000000000001,5.32439378900017
medLoad,2.3,33.6,6.6,34.3,4.3,0.699999999999996,5.33845504100464
medLoad,2.1,34.3,6.9,35,4.8,0.700000000000003,5.41548801300087
medLoad,2.1,35,6.5,35.6,4.4,0.600000000000001,5.27044427199871
medLoad,2.3,35.6,6.9,36.3,4.6,0.699999999999996,5.27523082500557
medLoad,2.4,36.3,6.3,36.9,3.9,0.600000000000001,5.2995731619958
medLoad,2.4,36.9,6.2,37.6,3.8,0.700000000000003,5.34483165900019
medLoad,2.2,37.6,6.3,38.2,4.1,0.600000000000001,5.25745361000008
medLoad,2.1,38.2,6.3,38.9,4.2,0.699999999999996,5.20491006499651
medLoad,2.1,38.9,6.2,39.5,4.1,0.600000000000001,5.38476456900389
medLoad,2,39.5,6.3,40.2,4.3,0.700000000000003,5.28520950999518
medLoad,2.3,40.2,6.4,40.9,4.1,0.699999999999996,5.29226682599983
medLoad,2.2,40.9,6.3,41.5,4.1,0.600000000000001,5.22579364900594
medLoad,2.1,41.5,6.2,42.2,4.1,0.700000000000003,5.22093156100164
medLoad,2.2,42.2,6.2,42.8,4,0.599999999999994,5.65738968799997
medLoad,2.3,42.8,6.1,43.5,3.8,0.700000000000003,5.24687906300096
heavyExtract,2.8,47.9,8.4,48.2,5.6,0.300000000000004,1.11318448699603
heavyExtract,2.4,48.2,8.4,48.1,6,-0.100000000000001,1.12488680200477
heavyExtract,2.6,48.1,8.1,48.2,5.5,0.100000000000001,1.14029771699279
heavyExtract,2.6,48.2,8,48.2,5.4,0,1.15926056000171
heavyExtract,2.4,48.2,8.1,48.2,5.7,0,1.16720090499439
heavyExtract,2.5,48.2,8.2,48.2,5.7,0,1.12140614799864
heavyExtract,2.5,48.2,8.2,48.2,5.7,0,1.1575923210039
heavyExtract,2.4,48.2,8.1,48.2,5.7,0,1.18968735499948
heavyExtract,2.6,48.2,8.2,48.2,5.6,0,1.15034481199109
heavyExtract,2.6,48.2,8.2,48.2,5.6,0,1.15054430099553
heavyExtract,2.4,48.2,8.7,48.2,6.3,0,1.1650711609982
heavyExtract,2.2,48.2,8,48.2,5.8,0,1.15856160200201
heavyExtract,2.1,48.2,7.8,48.2,5.7,0,1.25258873299754
heavyExtract,2.2,48.2,8.1,48.2,5.9,0,1.14865324800485
heavyExtract,2.1,48.2,7.4,48.2,5.3,0,1.26323425900773
heavyExtract,2.1,48.2,8.1,48.2,6,0,1.12282503499591
heavyExtract,2.1,48.2,8.2,48.2,6.1,0,1.168718506
heavyExtract,2.1,48.2,8.9,48.2,6.8,0,1.14956044200517
heavyExtract,2.3,48.2,8.5,48.2,6.2,0,1.15146024699789
heavyExtract,2.2,48.2,8.3,48.2,6.1,0,1.15361898099945
heavyExtract,2.6,48.2,8,48.2,5.4,0,1.18328534200555
heavyExtract,2.2,48.2,8.3,48.2,6.1,0,1.25331594099407
heavyExtract,2.1,48.2,8.5,48.2,6.4,0,1.1700860389974
heavyExtract,2.1,48.2,7.8,48.2,5.7,0,1.25132120899798
heavyExtract,2.1,48.2,8.5,48.2,6.4,0,1.15241464400606
heavyExtract,2.1,48.2,7.8,48.2,5.7,0,1.16570175500237
heavyExtract,2,48.2,8.6,48.2,6.6,0,1.16735663599684
heavyExtract,2.1,48.2,7.8,48.2,5.7,0,1.16045322499122
heavyExtract,2.2,48.2,8.6,48.2,6.4,0,1.16513935101102
heavyExtract,2.1,48.2,8.3,48.2,6.2,0,1.25613435098785
heavyTrans,2.8,29.7,7.5,29.7,4.7,0,0.278607956992346
heavyTrans,3.1,29.7,6.6,29.7,3.5,0,0.272237137003685
heavyTrans,2.7,29.7,7,29.7,4.3,0,0.273391843002173
heavyTrans,2.6,29.7,7.4,29.7,4.8,0,0.27217581300647
heavyTrans,2.9,29.7,10.7,29.8,7.8,0.100000000000001,0.27952391099825
heavyTrans,2.5,29.8,7.2,29.8,4.7,0,0.277169220003998
heavyTrans,2.7,29.8,7.5,29.8,4.8,0,0.277376755999285
heavyTrans,2.9,29.7,7.1,29.7,4.2,0,0.276173249003477
heavyTrans,2.9,29.7,6.6,29.7,3.7,0,0.272568358996068
heavyTrans,2.6,29.7,7,29.7,4.4,0,0.273537567001767
heavyTrans,2.7,29.7,7.9,29.7,5.2,0,0.272682244001771
heavyTrans,2.7,29.7,7.1,29.7,4.4,0,0.281506454004557
heavyTrans,2.4,29.7,7.7,29.7,5.3,0,0.281100177002372
heavyTrans,2.9,29.7,7.5,29.7,4.6,0,0.27802237799915
heavyTrans,2.5,29.7,7.5,29.7,5,0,0.284783290000632
heavyTrans,2.6,29.7,5.9,29.7,3.3,0,0.278867749002529
heavyTrans,2.7,29.7,7.6,29.7,4.9,0,0.275419564000913
heavyTrans,2.8,29.7,7.3,29.7,4.5,0,0.279872109007556
heavyTrans,2.5,29.7,6.6,29.7,4.1,0,0.277754274997278
heavyTrans,2.7,29.7,7.2,29.7,4.5,0,0.276484994989005
heavyTrans,3,29.8,7,29.8,4,0,0.379281472996809
heavyTrans,3,29.7,7,29.7,4,0,0.276795209996635
heavyTrans,2.9,29.7,6.7,29.7,3.8,0,0.28564113000175
heavyTrans,2.9,29.7,6.1,29.7,3.2,0,0.274999828994623
heavyTrans,2.7,29.7,8.4,29.7,5.7,0,0.283369803990354
heavyTrans,2.6,29.7,7.4,29.7,4.8,0,0.283233383990591
heavyTrans,2.9,29.7,6.6,29.7,3.7,0,0.279794517991831
heavyTrans,2.9,29.7,7,29.7,4.1,0,0.281346229996416
heavyTrans,2.8,29.7,6.5,29.7,3.7,0,0.279739877994871
heavyTrans,2.7,29.7,8.3,29.7,5.6,0,0.279832057000021
