CPU_utilization,RAM_utilization,elapsed_time
6.3,17.8,1.3176843
2.9,17.8,1.3303226
3.1,17.8,1.3426508
2.3,17.8,1.333244
2.9,17.8,1.3374015
2.3,17.8,1.3327391
2.9,17.9,1.3409415
3,17.8,1.3346475
2.6,17.8,1.3364169
2.9,17.9,1.34187
2.8,17.8,1.3381207
2.5,17.9,1.3321873
3.1,17.9,1.338839
3,17.9,1.3438953
2.3,17.9,1.3368522
3,17.9,1.3373636
3.1,17.9,1.3388151
2.3,17.9,1.3335596
2.9,17.9,1.3300885
3,17.9,1.3349913
2.4,17.9,1.3266904
3.1,17.9,1.3384521
2.4,17.9,1.3422304
2.8,17.9,1.3305449
3.1,17.9,1.3428604
2.4,17.9,1.3371133
3,17.9,1.3332758
3.1,17.9,1.3419749
2.4,17.9,1.341368
2.8,17.9,1.3299639
