CPU_utilization,RAM_utilization,elapsed_time
8.4,16.9,1.0351841189985862
4.4,17.3,1.0077042749981047
4.6,17.3,1.1022790529968916
4.4,17.3,1.1385230460000457
4.5,17.3,1.1336149810013012
3.9,17.1,1.1241823160016793
4.0,17.1,1.1138066679995973
3.5,17.1,1.1169470789973275
3.9,17.1,1.106385710001632
4.2,17.2,1.093139673001133
4.0,17.0,1.1182804280033452
4.2,17.1,1.1363185739974142
3.7,17.1,1.1450029900006484
3.7,17.1,1.1185091199949966
3.8,17.1,1.1184500909948838
3.7,17.1,1.1428628869980457
3.6,17.1,1.130384354000853
3.8,17.1,1.1178585609959555
3.7,17.1,1.096889750995615
3.5,17.1,1.1260084160021506
3.5,17.1,1.0876165380032035
3.4,17.1,1.0928135960057261
3.7,17.1,1.0974067990027834
3.4,17.1,1.133430750000116
3.8,17.1,1.1120076040024287
3.6,17.1,1.1457457770011388
3.3,17.1,1.1047482680005487
3.7,17.1,1.100577618002717
4.1,17.1,1.125947914995777
3.7,17.1,1.121664733000216
3.7,17.1,1.10001934900356
