CPU_utilization,RAM_utilization,elapsed_time
6.3,19.7,7.051392209999904
5.3,20.5,6.89737825699558
5.5,21.0,6.850576668999565
5.7,22.2,7.164915053996083
5.3,22.8,6.870013059000485
5.2,24.0,6.905859642996802
5.3,24.4,7.006020647997502
5.9,25.3,7.019881238004018
5.5,26.4,6.861195710996981
5.5,26.7,6.97241507400031
5.7,27.9,7.023242625997227
5.4,28.7,6.952562779995787
5.7,29.5,6.9673970799995
5.5,30.3,7.021435447997646
5.4,31.1,6.974558080000861
5.6,31.8,6.862177269998938
5.6,32.6,6.830582825998135
5.5,33.4,6.981174630003807
5.5,34.2,6.977282302999811
5.4,35.0,6.863616756003466
5.2,35.8,6.852802385998075
5.2,36.6,6.9911706569982925
5.5,37.3,7.002687092004635
5.6,38.2,6.991633252000611
5.7,39.0,6.856729541003006
5.7,39.7,6.920461902001989
5.9,40.5,6.95014120900305
5.3,41.3,7.1498181839997414
5.8,42.1,6.877339449994906
5.6,42.9,6.960036003001733
5.4,43.7,7.064739280998765
