CPU_utilization,RAM_utilization,elapsed_time
5.6,18.7,0.3499008
2.3,18.8,0.3347891
0.8,18.8,0.3393832
1,18.8,0.3408754
1.2,18.7,0.3407974
0.8,18.7,0.3421002
1.4,18.7,0.3385156
0.8,18.8,0.3412251
1.4,18.8,0.3399935
0.8,18.8,0.3467869
1.4,18.8,0.343328
0.9,18.8,0.3455277
1.8,18.7,0.3922909
0.6,18.7,0.3423449
1.9,18.7,0.3495717
0.8,18.7,0.3399759
0.7,18.7,0.3464886
1.6,18.7,0.3413652
0.8,18.6,0.3436482
1.7,18.6,0.3452931
0.7,18.6,0.3503511
1.6,18.6,0.3437317
0.6,18.6,0.3417462
1.6,18.6,0.3444528
0.7,18.6,0.3454336
1.8,18.6,0.3505864
0.6,18.7,0.3478741
0.9,18.6,0.3394311
1.5,18.7,0.3444711
0.7,18.7,0.3442628
