CPU_utilization,RAM_utilization,elapsed_time
6.2,20.6,0.9214956
2.9,20.3,0.8692232
1.9,20.3,0.8796773
2.5,20.4,0.8801622
2,20.4,0.8863758
2.8,20.3,0.882555
1.9,20.3,0.8852208
2.5,20.3,0.8813344
2.7,20.3,0.8792042
1.9,20.3,0.8845826
2.5,20.3,0.8829044
3.2,20.3,0.879081
2.6,20.3,0.8830605
1.9,20.3,0.8810462
2.6,20.3,0.8880279
2,20.3,0.8704652
2.5,20.3,0.8705002
2.6,20.3,0.8745945
1.9,20.3,0.9019407
2.5,20.3,0.8824056
2.3,20.3,0.8829691
2.8,20.4,0.879507
1.9,20.3,0.8870156
2.5,20.3,0.8767226
2,20.3,0.8848695
2.5,20.3,0.8789474
2.6,20.3,0.8836497
1.9,20.3,0.8786614
2.5,20.3,0.8843989
2,20.3,0.8840551
