CPU_utilization,RAM_utilization,elapsed_time
5.0,33.9,6.257245569002407
2.5,34.5,6.232769719001226
2.5,35.2,6.174027789998945
2.5,35.8,6.279950456999359
2.5,36.5,6.185847868000565
2.5,37.2,6.258128945999488
2.5,37.8,6.236965780997707
2.5,38.5,6.255277613003273
2.5,39.1,6.21453597800064
2.4,39.8,6.253705426999659
2.5,40.4,6.279336093997699
2.5,41.1,6.117353706002177
2.5,41.7,6.200368268000602
2.6,42.4,6.004202330001135
2.5,43.1,6.21728386599716
2.7,43.7,6.240222880001966
2.5,44.4,6.206533373999264
2.2,45.0,5.173515098998905
2.4,45.7,6.292923894998239
2.5,46.4,6.2992240940002375
2.5,47.0,6.211081307999848
2.5,47.7,6.110576005001349
2.5,48.3,6.198480610000843
2.5,49.0,6.2700830520007
2.6,49.6,6.291305840997666
2.5,50.3,6.2741129099995305
2.5,50.9,6.209745783999097
2.5,51.6,6.210720402999868
2.4,52.2,5.7577074769978935
2.4,52.9,6.009527925001748
