sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyExtractionMongo,2.2,28.4,5.4,29.2,3.2,0.800000000000001,1.15560292699956
heavyExtractionMongo,1.5,29.2,5.7,29.5,4.2,0.300000000000001,1.53199480799958
heavyExtractionMongo,1.7,29.4,5.4,29.4,3.7,0,1.48053243399772
heavyExtractionMongo,1.8,29.4,5.9,29.4,4.1,0,1.5475406839978
heavyExtractionMongo,1.6,29.4,5.6,29.4,4,0,1.5372930260055
heavyExtractionMongo,1.5,29.4,6,29.4,4.5,0,1.55710119499418
heavyExtractionMongo,2.5,29.4,6.2,29.4,3.7,0,1.58107596600894
heavyExtractionMongo,1.6,29.4,5.6,29.4,4,0,1.54431243600266
heavyExtractionMongo,1.6,29.4,5.6,29.4,4,0,1.55076344699773
heavyExtractionMongo,1.3,29.4,5.7,29.4,4.4,0,1.55050368999946
heavyExtractionMongo,1.4,29.4,5.4,29.3,4,-0.099999999999998,1.54614913399564
heavyExtractionMongo,1.2,29.3,5.5,29.4,4.3,0.099999999999998,1.54771072600852
heavyExtractionMongo,1.3,29.4,6.8,29.4,5.5,0,1.55204182599846
heavyExtractionMongo,1.5,29.4,5.6,29.4,4.1,0,1.54834984400077
heavyExtractionMongo,1.6,29.4,6.1,29.4,4.5,0,1.55019355600234
heavyExtractionMongo,1.3,29.4,5.8,29.4,4.5,0,1.55643064300239
heavyExtractionMongo,1.3,29.4,5.6,29.4,4.3,0,1.54701177000243
heavyExtractionMongo,1.6,29.4,5.6,29.4,4,0,1.55776441600756
heavyExtractionMongo,1.5,29.4,5.6,29.4,4.1,0,1.5496243719972
heavyExtractionMongo,1.5,29.4,5.7,29.4,4.2,0,1.54372249099833
heavyExtractionMongo,1.5,29.4,6,29.3,4.5,-0.099999999999998,1.54703902699112
heavyExtractionMongo,1.7,29.3,5.8,29.4,4.1,0.099999999999998,1.55934008999611
heavyExtractionMongo,1.8,29.4,5.6,29.3,3.8,-0.099999999999998,1.54728203000559
heavyExtractionMongo,1.6,29.3,6,29.4,4.4,0.099999999999998,1.55220785499841
heavyExtractionMongo,1.6,29.4,5.5,29.3,3.9,-0.099999999999998,1.55245853599627
heavyExtractionMongo,1.4,29.3,5.9,29.4,4.5,0.099999999999998,1.55799535900587
heavyExtractionMongo,1.9,29.4,5.5,29.3,3.6,-0.099999999999998,1.55078686200432
heavyExtractionMongo,1.5,29.3,5.6,29.4,4.1,0.099999999999998,1.56209756800672
heavyExtractionMongo,1.5,29.4,5.7,29.3,4.2,-0.099999999999998,1.55230422600289
heavyExtractionMongo,1.4,29.3,5.6,29.4,4.2,0.099999999999998,1.55225631600479
heavyExtractionMongo,1.6,29.4,5.9,29.3,4.3,-0.099999999999998,1.544003788993
