sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyLoadMongo,2.9,31.7,7.4,32,4.5,0.300000000000001,3.53994691700791
heavyLoadMongo,1.9,32,6.2,31.9,4.3,-0.100000000000001,2.3760550589941
heavyLoadMongo,1.7,31.7,5.8,31.8,4.1,0.100000000000001,2.38718881898967
heavyLoadMongo,1.8,31.8,6.1,31.7,4.3,-0.100000000000001,2.37832990700554
heavyLoadMongo,2.1,31.7,6.1,31.8,4,0.100000000000001,2.37654931000725
heavyLoadMongo,1.8,31.8,6.2,31.8,4.4,0,2.06083593300718
heavyLoadMongo,1.7,31.8,6,31.8,4.3,0,2.36321123299422
heavyLoadMongo,1.8,31.8,6.3,31.8,4.5,0,2.47179778000282
heavyLoadMongo,1.8,31.8,6.5,31.7,4.7,-0.100000000000001,2.89130617000046
heavyLoadMongo,1.7,31.7,7.4,31.8,5.7,0.100000000000001,2.04039069099235
heavyLoadMongo,1.7,31.8,5.9,31.7,4.2,-0.100000000000001,2.26868019599351
heavyLoadMongo,1.8,31.7,6.1,31.8,4.3,0.100000000000001,2.26801634700678
heavyLoadMongo,1.9,31.8,6.7,31.7,4.8,-0.100000000000001,2.42342459899373
heavyLoadMongo,1.9,31.7,5.9,31.8,4,0.100000000000001,2.59269294599653
heavyLoadMongo,1.9,31.8,6.2,31.7,4.3,-0.100000000000001,2.59175657499873
heavyLoadMongo,2.3,31.7,6,31.8,3.7,0.100000000000001,2.34615581500111
heavyLoadMongo,1.6,31.8,5.9,31.7,4.3,-0.100000000000001,2.28998465299082
heavyLoadMongo,1.7,31.7,5.9,31.8,4.2,0.100000000000001,2.28865812098957
heavyLoadMongo,1.7,31.8,5.8,31.7,4.1,-0.100000000000001,1.97866846800025
heavyLoadMongo,1.5,31.7,5.7,31.8,4.2,0.100000000000001,2.27021305200469
heavyLoadMongo,1.5,31.8,5.8,31.8,4.3,0,2.31840324698715
heavyLoadMongo,1.8,31.8,6.1,31.8,4.3,0,2.32197224200354
heavyLoadMongo,1.6,31.8,5.7,31.7,4.1,-0.100000000000001,2.28728153200063
heavyLoadMongo,1.7,31.7,5.9,31.8,4.2,0.100000000000001,2.32103033500607
heavyLoadMongo,1.6,31.8,5.7,31.7,4.1,-0.100000000000001,2.32737332000397
heavyLoadMongo,2,31.7,5.9,31.8,3.9,0.100000000000001,2.30849185099942
heavyLoadMongo,1.6,31.8,5.9,31.8,4.3,0,2.66070973098977
heavyLoadMongo,1.7,31.8,5.7,31.7,4,-0.100000000000001,2.26368444100081
heavyLoadMongo,1.6,31.7,5.7,31.8,4.1,0.100000000000001,2.58683562799706
heavyLoadMongo,1.9,31.8,5.8,31.8,3.9,0,2.56934659900435
heavyLoadMongo,1.6,31.8,5.9,31.8,4.3,0,2.5714040830062
