sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyTransCUMongo,2,29.9,6.4,30.5,4.4,0.600000000000001,0.058933830005117
heavyTransCUMongo,1.6,30.5,7.2,30.5,5.6,0,0.060695430001943
heavyTransCUMongo,2.2,30.5,6.8,30.5,4.6,0,0.057579444997828
heavyTransCUMongo,2.2,30.6,5.7,30.7,3.5,0.099999999999998,0.056817392003723
heavyTransCUMongo,1.9,30.7,5.8,30.7,3.9,0,0.063673308002763
heavyTransCUMongo,1.8,30.7,5.9,30.7,4.1,0,0.05743228099891
heavyTransCUMongo,2.4,30.6,6.2,30.6,3.8,0,0.064360390009824
heavyTransCUMongo,2,30.6,5.8,30.7,3.8,0.099999999999998,0.056080864000251
heavyTransCUMongo,2,30.7,4.7,30.7,2.7,0,0.055809394005337
heavyTransCUMongo,1.4,30.7,5.8,30.7,4.4,0,0.063115665994701
heavyTransCUMongo,1.5,30.7,5.8,30.8,4.3,0.100000000000001,0.056105509007466
heavyTransCUMongo,1.4,30.8,5.8,30.8,4.4,0,0.057366539986106
heavyTransCUMongo,1.3,30.8,5.5,30.8,4.2,0,0.056413436002913
heavyTransCUMongo,1.2,30.8,5.8,30.8,4.6,0,0.056793247989845
heavyTransCUMongo,1.5,30.9,6,30.9,4.5,0,0.056939697999042
heavyTransCUMongo,1.3,30.9,5,30.9,3.7,0,0.056079041998601
heavyTransCUMongo,1.1,30.9,5.2,30.9,4.1,0,0.056075758999214
heavyTransCUMongo,1.2,30.9,5.5,31,4.3,0.100000000000001,0.058396666005137
heavyTransCUMongo,1.4,31,5.2,31,3.8,0,0.080950546995155
heavyTransCUMongo,1.3,31,5.5,31,4.2,0,0.057149518004735
heavyTransCUMongo,1.3,31,5.5,31.1,4.2,0.100000000000001,0.055747778998921
heavyTransCUMongo,1.4,31,6.3,31.1,4.9,0.100000000000001,0.05672728799982
heavyTransCUMongo,1.5,31.1,5.3,31.1,3.8,0,0.055686949999654
heavyTransCUMongo,1.4,31.1,5.8,31.1,4.4,0,0.05665734098875
heavyTransCUMongo,1.7,31.1,4.9,31.2,3.2,0.099999999999998,0.056504313994083
heavyTransCUMongo,1.7,31.2,5.5,31.2,3.8,0,0.055429625004763
heavyTransCUMongo,1.5,31.2,5.8,31.2,4.3,0,0.056613508000737
heavyTransCUMongo,1.4,31.2,5.3,31.2,3.9,0,0.055950045993086
heavyTransCUMongo,1.5,31.2,5.2,31.3,3.7,0.100000000000001,0.057326493988512
heavyTransCUMongo,1.5,31.3,6.2,31.3,4.7,0,0.058681151989731
heavyTransCUMongo,1.6,31.3,6.1,31.3,4.5,0,0.057679288991494
