sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyTransMongo,2.1,29.3,5.7,29.5,3.6,0.199999999999999,0.505969609992462
heavyTransMongo,1.8,29.5,5.9,29.6,4.1,0.100000000000001,0.507427720003761
heavyTransMongo,1.5,29.6,5.6,29.6,4.1,0,0.505389295998612
heavyTransMongo,1.4,29.6,5.6,29.6,4.2,0,0.507099808994099
heavyTransMongo,1.5,29.6,5.6,29.7,4.1,0.099999999999998,0.506503008000436
heavyTransMongo,1.6,29.7,6.5,29.8,4.9,0.100000000000001,0.510065089998534
heavyTransMongo,1.4,29.8,5.5,29.8,4.1,0,0.505409310004325
heavyTransMongo,2.1,29.8,5.8,29.9,3.7,0.099999999999998,0.507902983998065
heavyTransMongo,1.6,29.9,5.9,29.9,4.3,0,0.527037343999837
heavyTransMongo,1.6,29.9,5.1,29.8,3.5,-0.099999999999998,0.505788497990579
heavyTransMongo,1.4,29.8,5,29.8,3.6,0,0.497415319012362
heavyTransMongo,1.6,29.8,5.4,29.8,3.8,0,0.503763247994357
heavyTransMongo,1.5,29.8,5.7,29.8,4.2,0,0.502484810000169
heavyTransMongo,1.5,29.8,5.9,29.8,4.4,0,0.504138207004871
heavyTransMongo,1.4,29.8,5.4,29.9,4,0.099999999999998,0.507146276999265
heavyTransMongo,1.9,29.9,6.4,29.9,4.5,0,0.526523239008384
heavyTransMongo,1.6,29.9,7.5,29.8,5.9,-0.099999999999998,0.512438004996511
heavyTransMongo,1.5,29.8,5.5,29.8,4,0,0.503421507994062
heavyTransMongo,1.6,29.8,5.7,29.8,4.1,0,0.508994132993394
heavyTransMongo,1.6,29.8,5.9,29.8,4.3,0,0.499342611001339
heavyTransMongo,1.5,29.8,6,29.8,4.5,0,0.506490866013337
heavyTransMongo,1.5,29.8,6,29.9,4.5,0.099999999999998,0.510737632008386
heavyTransMongo,1.7,29.9,5.5,29.9,3.8,0,0.529761712998152
heavyTransMongo,1.8,29.9,5.9,29.8,4.1,-0.099999999999998,0.503863827994792
heavyTransMongo,1.8,29.8,5.9,29.8,4.1,0,0.50275382300606
heavyTransMongo,1.7,29.8,5.9,29.8,4.2,0,0.499746123998193
heavyTransMongo,1.8,29.8,6.3,29.8,4.5,0,0.499683968999307
heavyTransMongo,2.1,29.8,7.2,29.8,5.1,0,0.504810929007363
heavyTransMongo,1.9,29.8,5.8,29.9,3.9,0.099999999999998,0.521432882000227
heavyTransMongo,1.9,29.9,5.9,29.9,4,0,0.534281077998458
heavyTransMongo,2,29.9,6.1,29.9,4.1,0,0.508460760000162
