sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightExtractionMongo,2.1,29.9,8.3,29.9,6.2,0,0.005242115003057
lightExtractionMongo,1.6,29.9,10,29.9,8.4,0,0.004159623000305
lightExtractionMongo,1.7,29.8,0,29.8,-1.7,0,0.004234804990119
lightExtractionMongo,1.6,29.8,0,29.8,-1.6,0,0.004856628002017
lightExtractionMongo,1.5,29.7,9.1,29.7,7.6,0,0.004296742001316
lightExtractionMongo,1.5,29.8,9.1,29.8,7.6,0,0.004223664000165
lightExtractionMongo,1.5,29.7,0,29.7,-1.5,0,0.0036379499943
lightExtractionMongo,1.6,29.7,10,29.7,8.4,0,0.004236687993398
lightExtractionMongo,1.7,29.7,9.1,29.7,7.4,0,0.00435980000475
lightExtractionMongo,1.5,29.7,0,29.7,-1.5,0,0.003749518000404
lightExtractionMongo,1.7,29.7,9.1,29.7,7.4,0,0.004368415000499
lightExtractionMongo,1.8,29.8,0,29.8,-1.8,0,0.004239613001118
lightExtractionMongo,1.7,29.7,0,29.7,-1.7,0,0.002380126999924
lightExtractionMongo,1.6,29.7,0,29.7,-1.6,0,0.003903860007995
lightExtractionMongo,1.7,29.7,0,29.7,-1.7,0,0.003624231001595
lightExtractionMongo,1.7,29.7,0,29.7,-1.7,0,0.004859710999881
lightExtractionMongo,1.9,29.7,8.3,29.7,6.4,0,0.004852777987253
lightExtractionMongo,1.7,29.8,0,29.8,-1.7,0,0.004690310001024
lightExtractionMongo,1.8,29.8,0,29.8,-1.8,0,0.004292981990147
lightExtractionMongo,1.5,29.7,18.2,29.7,16.7,0,0.004273143989849
lightExtractionMongo,1.9,29.7,0,29.7,-1.9,0,0.004705508006737
lightExtractionMongo,2.3,29.8,10,29.8,7.7,0,0.00419504599995
lightExtractionMongo,1.6,29.8,9.1,29.8,7.5,0,0.004284585011192
lightExtractionMongo,1.8,29.8,23.1,29.8,21.3,0,0.004711208006484
lightExtractionMongo,1.8,29.8,9.1,29.8,7.3,0,0.00429245000123
lightExtractionMongo,1.7,29.7,0,29.7,-1.7,0,0.004953354000463
lightExtractionMongo,1.7,29.7,0,29.7,-1.7,0,0.004271380996215
lightExtractionMongo,1.7,29.7,9.1,29.7,7.4,0,0.0043628509884
lightExtractionMongo,1.9,29.7,0,29.7,-1.9,0,0.004335719990195
lightExtractionMongo,1.9,29.7,0,29.7,-1.9,0,0.004202288997476
lightExtractionMongo,2,29.8,0,29.8,-2,0,0.00429698699736
