sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightLoadMongo,1.1,29.8,19,29.8,17.9,0,0.007549329995527
lightLoadMongo,1.2,29.8,7.1,29.8,5.9,0,0.011586127991905
lightLoadMongo,1.4,29.8,3.8,29.8,2.4,0,0.010517507005716
lightLoadMongo,1.4,29.8,3.4,29.8,2,0,0.012074896992999
lightLoadMongo,1.8,29.8,6.9,29.8,5.1,0,0.011852135998197
lightLoadMongo,1.7,29.8,6.9,29.8,5.2,0,0.013004185995669
lightLoadMongo,1.6,29.8,3.7,29.8,2.1,0,0.011565898996196
lightLoadMongo,1.6,29.8,6.5,29.8,4.9,0,0.012504615006037
lightLoadMongo,1.6,29.8,9.1,29.8,7.5,0,0.013357510004426
lightLoadMongo,1.7,29.8,3.2,29.8,1.5,0,0.013377657989622
lightLoadMongo,1.8,29.8,8.8,29.8,7,0,0.013597811004729
lightLoadMongo,1.8,29.8,8.8,29.8,7,0,0.013613650007756
lightLoadMongo,1.7,29.8,3.3,29.8,1.6,0,0.012413371005096
lightLoadMongo,1.8,29.8,9.1,29.8,7.3,0,0.013391864005826
lightLoadMongo,2,29.8,3.4,29.8,1.4,0,0.012136049001129
lightLoadMongo,2,29.8,0,29.8,-2,0,0.011826977002784
lightLoadMongo,1.8,29.8,6.7,29.8,4.9,0,0.012197254007333
lightLoadMongo,1.7,29.8,3.4,29.8,1.7,0,0.012505203994806
lightLoadMongo,1.7,29.8,6.7,29.8,5,0,0.011680921990774
lightLoadMongo,1.7,29.8,6.7,29.8,5,0,0.012462511993363
lightLoadMongo,2.2,29.8,6.3,29.8,4.1,0,0.013153202002286
lightLoadMongo,1.5,29.8,3.7,29.8,2.2,0,0.01145830200403
lightLoadMongo,2.3,29.9,3.7,29.9,1.4,0,0.011731165999663
lightLoadMongo,1.6,29.8,3.4,29.8,1.8,0,0.012283203992411
lightLoadMongo,1.5,29.8,6.1,29.8,4.6,0,0.013504431990441
lightLoadMongo,1.6,29.8,3.3,29.8,1.7,0,0.012581215007231
lightLoadMongo,1.6,29.8,3.1,29.8,1.5,0,0.013090002001263
lightLoadMongo,1.6,29.8,0,29.8,-1.6,0,0.012766754007316
lightLoadMongo,1.6,29.9,6.7,29.9,5.1,0,0.011704764008755
lightLoadMongo,1.5,29.8,9.7,29.8,8.2,0,0.012814150992199
lightLoadMongo,1.4,29.8,3.2,29.8,1.8,0,0.013187333999667
