sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightTransCu,2.8,29.8,6,29.8,3.2,0,0.002402775004157
lightTransCu,1.7,29.8,4.5,29.8,2.8,0,0.004379538004287
lightTransCu,1.6,29.8,8.3,29.8,6.7,0,0.004407068001456
lightTransCu,1.4,29.8,5,29.8,3.6,0,0.003603685996495
lightTransCu,1.6,29.8,4.3,29.8,2.7,0,0.00456977498834
lightTransCu,1.4,29.8,4.5,29.8,3.1,0,0.003950137994252
lightTransCu,1.5,29.8,12.5,29.8,11,0,0.003636848006863
lightTransCu,1.5,29.8,4,29.8,2.5,0,0.005040219999501
lightTransCu,1.4,29.8,4.8,29.8,3.4,0,0.003973812010372
lightTransCu,1.6,29.8,0,29.8,-1.6,0,0.004506205004873
lightTransCu,1.9,29.8,8.7,29.8,6.8,0,0.004366722001578
lightTransCu,1.8,29.8,4.8,29.8,3,0,0.003521751001244
lightTransCu,1.8,29.8,8.7,29.8,6.9,0,0.004380347992992
lightTransCu,1.8,29.8,4.8,29.8,3,0,0.003763715008972
lightTransCu,1.8,29.8,4.2,29.8,2.4,0,0.004556148996926
lightTransCu,1.8,29.8,8,29.8,6.2,0,0.005568453998421
lightTransCu,2.2,29.8,3.7,29.8,1.5,0,0.005512909003301
lightTransCu,1.7,29.8,4.2,29.8,2.5,0,0.005100783004309
lightTransCu,1.9,29.8,8,29.8,6.1,0,0.004835041996557
lightTransCu,1.8,29.8,5.3,29.8,3.5,0,0.003559880991816
lightTransCu,1.7,29.8,0,29.8,-1.7,0,0.004359967002529
lightTransCu,1.9,29.8,4.5,29.8,2.6,0,0.004465737001738
lightTransCu,1.9,29.8,7.4,29.8,5.5,0,0.005096542998217
lightTransCu,1.7,29.8,0,29.8,-1.7,0,0.003995631996077
lightTransCu,1.5,29.8,8.7,29.8,7.2,0,0.004427084000781
lightTransCu,1.7,29.8,4.5,29.8,2.8,0,0.004413347996888
lightTransCu,1.3,29.8,0,29.8,-1.3,0,0.00446445500711
lightTransCu,1.2,29.8,4.8,29.8,3.6,0,0.003642326992122
lightTransCu,1.5,29.8,3.8,29.8,2.3,0,0.00520326399419
lightTransCu,1.3,29.8,4.5,29.8,3.2,0,0.004125154999201
lightTransCu,1.4,29.8,8,29.8,6.6,0,0.004377479999675
