sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightTransMongo,2,29.7,9.1,29.7,7.1,0,0.002332225005375
lightTransMongo,1.6,29.7,8.3,29.7,6.7,0,0.002603656001156
lightTransMongo,1.7,29.8,11.1,29.8,9.4,0,0.001971484001842
lightTransMongo,1.6,29.8,0,29.8,-1.6,0,0.002356600001804
lightTransMongo,1.6,29.8,9.1,29.8,7.5,0,0.002277872001287
lightTransMongo,1.4,29.8,11.1,29.8,9.7,0,0.001806243002648
lightTransMongo,1.5,29.8,10,29.8,8.5,0,0.002286717994139
lightTransMongo,1.4,29.8,0,29.8,-1.4,0,0.002275156992255
lightTransMongo,1.4,29.8,8.3,29.8,6.9,0,0.002575401987997
lightTransMongo,1.4,29.8,0,29.8,-1.4,0,0.001787728004274
lightTransMongo,1.5,29.8,12.5,29.8,11,0,0.001795061994926
lightTransMongo,1.4,29.8,10,29.8,8.6,0,0.002259686996695
lightTransMongo,1.3,29.8,9.1,29.8,7.8,0,0.002275776001625
lightTransMongo,1.4,29.8,9.1,29.8,7.7,0,0.002255789004266
lightTransMongo,1.4,29.8,0,29.8,-1.4,0,0.002267731004395
lightTransMongo,1.4,29.8,9.1,29.8,7.7,0,0.00270602699311
lightTransMongo,1.4,29.8,9.1,29.8,7.7,0,0.002249176992336
lightTransMongo,1.5,29.8,9.1,29.8,7.6,0,0.002288981995662
lightTransMongo,1.3,29.8,9.1,29.8,7.8,0,0.00224193300528
lightTransMongo,1.4,29.8,10,29.8,8.6,0,0.002243245005957
lightTransMongo,1.5,29.8,0,29.8,-1.5,0,0.002241241993033
lightTransMongo,1.7,29.8,0,29.8,-1.7,0,0.002249255994684
lightTransMongo,1.8,29.8,9.1,29.8,7.3,0,0.002230351004982
lightTransMongo,1.7,29.8,0,29.8,-1.7,0,0.002228156008641
lightTransMongo,1.7,29.8,9.1,29.8,7.4,0,0.002260276989546
lightTransMongo,1.6,29.8,0,29.8,-1.6,0,0.002230130994576
lightTransMongo,1.6,29.8,9.1,29.8,7.5,0,0.002225561998785
lightTransMongo,1.6,29.8,0,29.8,-1.6,0,0.00236686700373
lightTransMongo,1.6,29.8,10,29.8,8.4,0,0.002260276000015
lightTransMongo,1.9,29.8,10,29.8,8.1,0,0.002263492991915
lightTransMongo,3.1,29.8,0,29.8,-3.1,0,0.001133484998718
