sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medExtractionMongo,3.4,28.2,7,29.1,3.6,0.900000000000002,1.14527819000068
medExtractionMongo,2.6,29.1,5.8,29.4,3.2,0.299999999999997,1.58565946300223
medExtractionMongo,1.9,29.2,5.7,29.2,3.8,0,1.29692899700603
medExtractionMongo,1.6,29.2,5.8,29.3,4.2,0.100000000000001,1.6254299350112
medExtractionMongo,2.1,29.3,6.2,29.2,4.1,-0.100000000000001,1.3245603050018
medExtractionMongo,1.5,29.2,6.4,29.2,4.9,0,1.43450214900076
medExtractionMongo,1.9,29.2,5.8,29.3,3.9,0.100000000000001,1.62146252499952
medExtractionMongo,1.5,29.3,5.8,29.2,4.3,-0.100000000000001,1.41388696098875
medExtractionMongo,1.6,29.2,5.9,29.2,4.3,0,1.71903869599919
medExtractionMongo,1.4,29.2,6,29.3,4.6,0.100000000000001,1.6267216210108
medExtractionMongo,1.6,29.3,6.1,29.2,4.5,-0.100000000000001,1.35528527598945
medExtractionMongo,1.6,29.2,5.5,29.2,3.9,0,1.44708026399894
medExtractionMongo,1.5,29.2,5.7,29.3,4.2,0.100000000000001,1.62558099601301
medExtractionMongo,1.6,29.3,5.8,29.2,4.2,-0.100000000000001,1.31314935699629
medExtractionMongo,1.5,29.2,5.7,29.2,4.2,0,1.6253065369965
medExtractionMongo,1.7,29.2,5.7,29.3,4,0.100000000000001,1.51537496199308
medExtractionMongo,1.6,29.3,5.5,29.2,3.9,-0.100000000000001,1.3153609699948
medExtractionMongo,1.5,29.2,5.6,29.3,4.1,0.100000000000001,1.42579696999746
medExtractionMongo,1.4,29.3,5.5,29.3,4.1,0,1.61295991399675
medExtractionMongo,1.5,29.3,5.6,29.2,4.1,-0.100000000000001,1.30123016200378
medExtractionMongo,2.8,29.4,5.7,29.4,2.9,0,1.63139309899998
medExtractionMongo,1.5,29.4,5.7,29.4,4.2,0,1.51892024998961
medExtractionMongo,1.5,29.4,5.8,29.3,4.3,-0.099999999999998,1.33174072600377
medExtractionMongo,1.5,29.3,5.7,29.3,4.2,0,1.4464654839976
medExtractionMongo,1.7,29.3,6.8,29.3,5.1,0,1.62391527800355
medExtractionMongo,1.6,29.3,6.1,29.3,4.5,0,1.31534340599319
medExtractionMongo,1.4,29.3,5.6,29.3,4.2,0,1.62006960100553
medExtractionMongo,1.6,29.3,5.7,29.3,4.1,0,1.54285368100682
medExtractionMongo,1.3,29.3,5.7,29.3,4.4,0,1.41825179799343
medExtractionMongo,1.7,29.3,5.6,29.3,3.9,0,1.54130833499949
medExtractionMongo,1.4,29.3,5.5,29.3,4.1,0,1.61805193699547
