sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medTransMongo,1.4,29.3,5.9,29.3,4.5,0,0.211219814998913
medTransMongo,1.4,29.3,5.6,29.3,4.2,0,0.222569603996817
medTransMongo,1.4,29.3,5.8,29.3,4.4,0,0.221708905999549
medTransMongo,1.9,29.3,6.2,29.3,4.3,0,0.223924567006179
medTransMongo,1.3,29.3,5.1,29.3,3.8,0,0.223070231993915
medTransMongo,1.3,29.3,5.7,29.3,4.4,0,0.239297365988023
medTransMongo,1.3,29.3,5.6,29.3,4.3,0,0.215986456008977
medTransMongo,1.2,29.3,4.9,29.3,3.7,0,0.215334599008202
medTransMongo,1.6,29.3,6.1,29.4,4.5,0.099999999999998,0.219112432998372
medTransMongo,1.5,29.4,5.7,29.4,4.2,0,0.220847845994285
medTransMongo,1.4,29.4,5,29.4,3.6,0,0.217226729000686
medTransMongo,1.5,29.4,5.6,29.4,4.1,0,0.239627354996628
medTransMongo,1.3,29.4,5.4,29.4,4.1,0,0.239922502005356
medTransMongo,1.3,29.4,5.9,29.4,4.6,0,0.24132138400455
medTransMongo,1.3,29.4,5.3,29.4,4,0,0.22161146599683
medTransMongo,1.4,29.4,5.6,29.4,4.2,0,0.217986379997456
medTransMongo,1.3,29.4,6,29.4,4.7,0,0.222853936997126
medTransMongo,1.3,29.4,6,29.5,4.7,0.100000000000001,0.228940847999183
medTransMongo,1.4,29.5,5.3,29.5,3.9,0,0.227545328001725
medTransMongo,1.4,29.5,5.4,29.5,4,0,0.222996808995958
medTransMongo,1.4,29.5,5.5,29.5,4.1,0,0.221041088007041
medTransMongo,1.8,29.5,5.6,29.5,3.8,0,0.223630880005658
medTransMongo,1.4,29.5,5.6,29.5,4.2,0,0.224945052992552
medTransMongo,1.4,29.5,5.8,29.5,4.4,0,0.228080686996691
medTransMongo,1.4,29.5,5.6,29.5,4.2,0,0.223771425997256
medTransMongo,1.5,29.5,6.1,29.5,4.6,0,0.225085867990856
medTransMongo,1.4,29.5,5.6,29.5,4.2,0,0.221995931991842
medTransMongo,1.7,29.5,5.6,29.5,3.9,0,0.230606594006531
medTransMongo,1.3,29.5,5.1,29.5,3.8,0,0.222255239001242
medTransMongo,1.3,29.5,5.2,29.5,3.9,0,0.225364063007873
medTransMongo,1.3,29.5,5.3,29.5,4,0,0.231446318008238
