sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medLoadMongo,2.3,30.9,5.5,30.9,3.2,0,3.31196386599913
medLoadMongo,1.5,30.9,5.8,30.9,4.3,0,1.93756819899136
medLoadMongo,1.7,30.9,6,31,4.3,0.100000000000001,2.22447629399539
medLoadMongo,1.6,31,5.8,31,4.2,0,2.19926611700794
medLoadMongo,1.7,31,5.6,31,3.9,0,2.18740419700043
medLoadMongo,2.1,30.9,5.9,30.9,3.8,0,2.19006545899902
medLoadMongo,1.6,30.9,5.5,30.9,3.9,0,2.17924974700145
medLoadMongo,1.6,30.9,5.8,30.9,4.2,0,2.20184928999515
medLoadMongo,1.7,31,5.4,31,3.7,0,2.20409558199754
medLoadMongo,2.1,30.9,5.8,31,3.7,0.100000000000001,2.18636531899392
medLoadMongo,1.4,31,5.7,31,4.3,0,2.19449775799876
medLoadMongo,1.5,31,5.7,31,4.2,0,2.15433133199986
medLoadMongo,1.5,31,6.4,31,4.9,0,1.91208595600619
medLoadMongo,1.5,31,5.8,31,4.3,0,2.17438514699461
medLoadMongo,1.5,31,5.7,31,4.2,0,2.18609773699427
medLoadMongo,1.5,31,5.6,31,4.1,0,2.20333945800667
medLoadMongo,1.5,31,5.7,31,4.2,0,2.18315939899185
medLoadMongo,1.6,31,5.6,31,4,0,2.18027127000096
medLoadMongo,1.4,31,5.4,31,4,0,2.17762548499741
medLoadMongo,1.4,31,5.5,31,4.1,0,2.16854372799571
medLoadMongo,1.5,31,5.7,31,4.2,0,2.18922080099583
medLoadMongo,1.6,31,5.8,31,4.2,0,2.20306783200067
medLoadMongo,1.5,31,5.6,31,4.1,0,2.17686812799366
medLoadMongo,1.5,31,5.9,31,4.4,0,2.15982464099943
medLoadMongo,1.6,31,5.6,31,4,0,2.18510248199163
medLoadMongo,1.7,31,5.7,31,4,0,2.19944079199922
medLoadMongo,1.5,31,5.6,31,4.1,0,2.19453192500805
medLoadMongo,1.4,31,5.5,31,4.1,0,1.95243288000347
medLoadMongo,1.5,31,5.5,31,4,0,2.19824394800526
medLoadMongo,1.5,31,6.2,31,4.7,0,2.18829353999172
medLoadMongo,1.4,31,5.6,31,4.2,0,2.20436821501062
