sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyExtract,3.5,29.8,8.7,29.8,5.2,0,1.08506852299615
heavyExtract,2.7,29.8,9.1,29.7,6.4,-0.100000000000001,1.20027050799399
heavyExtract,2.8,29.7,9,29.7,6.2,0,1.18004686699715
heavyExtract,2.9,29.7,9.8,29.7,6.9,0,1.19054632498592
heavyExtract,3,29.7,8.5,29.7,5.5,0,1.27945707600156
heavyExtract,3.1,29.7,8.9,29.7,5.8,0,1.19335786500596
heavyExtract,3,29.7,9.4,29.7,6.4,0,1.22575392299041
heavyExtract,2.9,29.7,9.1,29.7,6.2,0,1.23975266900379
heavyExtract,2.9,29.7,8.5,29.7,5.6,0,1.16812518700317
heavyExtract,2.9,29.7,8.7,29.7,5.8,0,1.16177769300703
heavyExtract,3.1,29.7,8.1,29.7,5,0,1.21510125401255
heavyExtract,2.8,29.7,8.8,29.7,6,0,1.15424721600721
heavyExtract,2.9,29.7,8.9,29.7,6,0,1.15651267400244
heavyExtract,3,29.7,8.7,29.7,5.7,0,1.16121551800461
heavyExtract,3,29.7,9.1,29.7,6.1,0,1.17665008601034
heavyExtract,3.1,29.7,9.1,29.7,6,0,1.14753375099099
heavyExtract,2.5,29.7,7.9,29.7,5.4,0,1.19120434000797
heavyExtract,2.6,29.7,9,29.7,6.4,0,1.16988400100672
heavyExtract,2.5,29.7,8.8,29.7,6.3,0,1.15128433798964
heavyExtract,2.5,29.7,8.4,29.7,5.9,0,1.16825139700086
heavyExtract,2.5,29.7,8.2,29.7,5.7,0,1.16591591900215
heavyExtract,2.6,29.7,9,29.7,6.4,0,1.18355307799357
heavyExtract,3,29.7,8.2,29.7,5.2,0,1.22334719399805
heavyExtract,2.9,29.7,9.4,29.7,6.5,0,1.24169553798856
heavyExtract,2.8,29.7,9,29.7,6.2,0,1.19059044501046
heavyExtract,2.8,29.7,8.7,29.7,5.9,0,1.25140218900924
heavyExtract,2.8,29.7,8.3,29.7,5.5,0,1.18384650700318
heavyExtract,3,29.7,8.8,29.7,5.8,0,1.15178104999359
heavyExtract,3,29.7,8.8,29.7,5.8,0,1.18592192900542
heavyExtract,2.8,29.7,9.1,29.7,6.3,0,1.18051063299936
heavyExtract,2.8,29.7,9.4,29.7,6.6,0,1.16099145098997
