sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyLoad,2,29.8,6,31,4,1.2,7.14343962501152
heavyLoad,1.9,31,7,32.2,5.1,1.2,7.10455555400404
heavyLoad,2.7,32.2,6.9,33.1,4.2,0.899999999999999,6.82734767500369
heavyLoad,2.6,33,6.9,33.8,4.3,0.799999999999997,6.95273988498957
heavyLoad,3,33.8,7,34.7,4,0.900000000000006,6.87748612399446
heavyLoad,2.9,34.7,7.3,35.4,4.4,0.699999999999996,7.22636812500423
heavyLoad,2.6,35.4,7.2,36.3,4.6,0.899999999999999,6.75827095498971
heavyLoad,3.8,36.3,7.3,37.1,3.5,0.800000000000004,6.85313013699488
heavyLoad,2.4,37,9.3,37.8,6.9,0.799999999999997,7.09286894800607
heavyLoad,3,37.8,7.9,38.6,4.9,0.800000000000004,7.20739124399552
heavyLoad,2.8,38.6,6.9,39.4,4.1,0.799999999999997,7.03036442000303
heavyLoad,2.9,39.4,7,40.2,4.1,0.800000000000004,7.02816324100422
heavyLoad,2.4,40.1,6.7,40.9,4.3,0.799999999999997,7.67410251700494
heavyLoad,2.9,40.9,7.1,41.7,4.2,0.800000000000004,7.7673283740005
heavyLoad,3,41.7,7.2,42.5,4.2,0.799999999999997,7.03043329199136
heavyLoad,2.4,42.5,7.1,43.3,4.7,0.799999999999997,7.16549086100713
heavyLoad,3.1,43.3,6.8,44,3.7,0.700000000000003,6.93938333699771
heavyLoad,2.4,44,6.6,44.8,4.2,0.799999999999997,6.88549583600252
heavyLoad,2.7,44.8,6.4,45.6,3.7,0.800000000000004,7.08710072298709
heavyLoad,2.4,45.6,6.5,46.4,4.1,0.799999999999997,7.10848273900047
heavyLoad,2.5,46.4,6.7,47.2,4.2,0.800000000000004,6.88615171000129
heavyLoad,2.3,47.2,6.7,48,4.4,0.799999999999997,6.93851902299502
heavyLoad,2.7,48,6.5,48.8,3.8,0.799999999999997,6.99966813500214
heavyLoad,2.8,48.8,6.7,49.5,3.9,0.700000000000003,7.04285717199673
heavyLoad,2.4,49.5,6.8,50.3,4.4,0.799999999999997,7.0564245259884
heavyLoad,2.9,50.3,6.9,51.1,4,0.800000000000004,6.87890933000017
heavyLoad,2.9,51.1,6.7,51.9,3.8,0.799999999999997,6.9272871830035
heavyLoad,2.5,51.9,6.6,52.7,4.1,0.800000000000004,6.99194190400885
heavyLoad,2.6,52.7,6.7,53.5,4.1,0.799999999999997,7.20870590799314
heavyLoad,2.8,53.5,6.8,54.3,4,0.799999999999997,6.94395331900159
heavyLoad,2.8,54.3,6.8,55,4,0.700000000000003,6.94459479299258
