sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyTrans,3,29.7,8.6,29.7,5.6,0,0.282083976009744
heavyTrans,2.8,29.7,7.5,29.7,4.7,0,0.278607956992346
heavyTrans,3.1,29.7,6.6,29.7,3.5,0,0.272237137003685
heavyTrans,2.7,29.7,7,29.7,4.3,0,0.273391843002173
heavyTrans,2.6,29.7,7.4,29.7,4.8,0,0.27217581300647
heavyTrans,2.9,29.7,10.7,29.8,7.8,0.100000000000001,0.27952391099825
heavyTrans,2.5,29.8,7.2,29.8,4.7,0,0.277169220003998
heavyTrans,2.7,29.8,7.5,29.8,4.8,0,0.277376755999285
heavyTrans,2.9,29.7,7.1,29.7,4.2,0,0.276173249003477
heavyTrans,2.9,29.7,6.6,29.7,3.7,0,0.272568358996068
heavyTrans,2.6,29.7,7,29.7,4.4,0,0.273537567001767
heavyTrans,2.7,29.7,7.9,29.7,5.2,0,0.272682244001771
heavyTrans,2.7,29.7,7.1,29.7,4.4,0,0.281506454004557
heavyTrans,2.4,29.7,7.7,29.7,5.3,0,0.281100177002372
heavyTrans,2.9,29.7,7.5,29.7,4.6,0,0.27802237799915
heavyTrans,2.5,29.7,7.5,29.7,5,0,0.284783290000632
heavyTrans,2.6,29.7,5.9,29.7,3.3,0,0.278867749002529
heavyTrans,2.7,29.7,7.6,29.7,4.9,0,0.275419564000913
heavyTrans,2.8,29.7,7.3,29.7,4.5,0,0.279872109007556
heavyTrans,2.5,29.7,6.6,29.7,4.1,0,0.277754274997278
heavyTrans,2.7,29.7,7.2,29.7,4.5,0,0.276484994989005
heavyTrans,3,29.8,7,29.8,4,0,0.379281472996809
heavyTrans,3,29.7,7,29.7,4,0,0.276795209996635
heavyTrans,2.9,29.7,6.7,29.7,3.8,0,0.28564113000175
heavyTrans,2.9,29.7,6.1,29.7,3.2,0,0.274999828994623
heavyTrans,2.7,29.7,8.4,29.7,5.7,0,0.283369803990354
heavyTrans,2.6,29.7,7.4,29.7,4.8,0,0.283233383990591
heavyTrans,2.9,29.7,6.6,29.7,3.7,0,0.279794517991831
heavyTrans,2.9,29.7,7,29.7,4.1,0,0.281346229996416
heavyTrans,2.8,29.7,6.5,29.7,3.7,0,0.279739877994871
heavyTrans,2.7,29.7,8.3,29.7,5.6,0,0.279832057000021
