sample,base_CPU,base_RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
heavyTransCU,3.2,29.7,6.8,29.7,3.6,0,0.245522903001984
heavyTransCU,2.2,29.7,8.1,29.8,5.9,0.100000000000001,0.285643481009174
heavyTransCU,2.7,29.8,6.4,29.8,3.7,0,0.235484003002057
heavyTransCU,2.1,29.8,6.7,29.8,4.6,0,0.240161819994682
heavyTransCU,2,29.8,7.1,29.8,5.1,0,0.247189030997106
heavyTransCU,2.1,29.8,6.3,29.7,4.2,-0.100000000000001,0.243912972000544
heavyTransCU,2,29.7,6.3,29.7,4.3,0,0.237798100002692
heavyTransCU,1.9,29.7,6.4,29.7,4.5,0,0.243400213992572
heavyTransCU,1.9,29.7,6.4,29.8,4.5,0.100000000000001,0.242552668991266
heavyTransCU,2,29.8,6,29.8,4,0,0.23757806699723
heavyTransCU,2,29.8,6.2,29.8,4.2,0,0.234597044007387
heavyTransCU,1.9,29.8,6.3,29.8,4.4,0,0.238536524004303
heavyTransCU,1.8,29.8,5.8,29.8,4,0,0.23901123298856
heavyTransCU,1.9,29.8,6,29.8,4.1,0,0.234921965995454
heavyTransCU,1.9,29.8,6,29.8,4.1,0,0.23835145799967
heavyTransCU,1.7,29.8,5.6,29.8,3.9,0,0.240704297000775
heavyTransCU,1.8,29.8,6,29.8,4.2,0,0.243106116991839
heavyTransCU,1.8,29.8,5.8,29.7,4,-0.100000000000001,0.247717548991204
heavyTransCU,1.8,29.8,5.6,29.8,3.8,0,0.248162391988444
heavyTransCU,2,29.8,6.6,29.8,4.6,0,0.239871291007148
heavyTransCU,1.8,29.8,5.8,29.8,4,0,0.245488073007436
heavyTransCU,1.8,29.8,5.6,29.8,3.8,0,0.238657565001631
heavyTransCU,1.7,29.8,5.5,29.8,3.8,0,0.244952700988506
heavyTransCU,1.5,29.8,5.7,29.8,4.2,0,0.236239668010967
heavyTransCU,1.9,29.8,7.3,29.8,5.4,0,0.23968911600241
heavyTransCU,2,29.8,6.3,29.8,4.3,0,0.242652351997094
heavyTransCU,2.1,29.8,5.6,29.8,3.5,0,0.238943030009978
heavyTransCU,2.1,29.8,6.2,29.8,4.1,0,0.23514014200191
heavyTransCU,2,29.8,6,29.8,4,0,0.238699068999267
heavyTransCU,2.1,29.8,5.5,29.8,3.4,0,0.238392949002446
heavyTransCU,1.7,29.8,6.3,29.8,4.6,0,0.238362260002759
