sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightLoad,1.8,19.6,6.5,19.6,4.7,0,0.045215701000416
lightLoad,1.6,19.6,5.6,19.6,4,0,0.022860518998641
lightLoad,1.9,19.6,3.8,19.6,1.9,0,0.022163400994032
lightLoad,1.6,19.7,2,19.7,0.4,0,0.02163823400042
lightLoad,2.4,19.7,5.7,19.7,3.3,0,0.022158519001096
lightLoad,1.9,19.7,7.4,19.7,5.5,0,0.022360283001035
lightLoad,1.6,19.7,5.6,19.7,4,0,0.022131967998576
lightLoad,1.6,19.7,7.5,19.7,5.9,0,0.022214219003217
lightLoad,1.5,19.7,4.1,19.7,2.6,0,0.021373005998612
lightLoad,1.8,19.7,5.7,19.7,3.9,0,0.022235497002839
lightLoad,1.8,19.7,6.9,19.7,5.1,0,0.054002569995646
lightLoad,2,19.7,5.4,19.7,3.4,0,0.023605730006239
lightLoad,2,19.7,3.7,19.7,1.7,0,0.022409286000766
lightLoad,1.9,19.7,5.9,19.7,4,0,0.021371939001256
lightLoad,2,19.7,12.3,19.7,10.3,0,0.022909423001693
lightLoad,2.6,19.7,6.9,19.7,4.3,0,0.024460503998853
lightLoad,2.3,19.7,5.7,19.7,3.4,0,0.021979823999573
lightLoad,2.3,19.7,3.7,19.7,1.4,0,0.023205331002828
lightLoad,2,19.7,7.1,19.7,5.1,0,0.023078894002538
lightLoad,2.1,19.7,6.9,19.7,4.8,0,0.024065755002084
lightLoad,2.5,19.7,10.2,19.7,7.7,0,0.024325657999725
lightLoad,3,19.7,3.6,19.7,0.6,0,0.023337811006059
lightLoad,2.7,19.7,3.8,19.7,1.1,0,0.022069274993555
lightLoad,2.5,19.7,9.1,19.7,6.6,0,0.023019970998576
lightLoad,2.3,19.7,7.5,19.7,5.2,0,0.021372410003096
lightLoad,2.3,19.7,5.4,19.7,3.1,0,0.022954396001296
lightLoad,2.1,19.7,3.6,19.7,1.5,0,0.023746136001137
lightLoad,2.3,19.7,8.6,19.7,6.3,0,0.023809534002794
lightLoad,2.4,19.7,7,19.7,4.6,0,0.023440987999493
lightLoad,2.7,19.7,3.4,19.7,0.7,0,0.025162003999867
lightLoad,2.6,19.7,7.1,19.7,4.5,0,0.023273474995222
