sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
lightTrans,3.2,19.2,0,19.2,-3.2,0,0.001280290001887
lightTrans,2.9,19.2,0,19.2,-2.9,0,0.001213413997903
lightTrans,2.9,19.2,0,19.2,-2.9,0,0.000984186997812
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001210118003655
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001349938000203
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001200980004796
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.000985377999314
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.00123998199706
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001170242001535
lightTrans,2.7,19.2,0,19.2,-2.7,0,0.00129981200007
lightTrans,2.6,19.2,0,19.2,-2.6,0,0.001163408996945
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001192543000798
lightTrans,2.6,19.2,0,19.2,-2.6,0,0.001204483996844
lightTrans,2.4,19.2,0,19.2,-2.4,0,0.001186210000014
lightTrans,2.2,19.2,33.3,19.2,31.1,0,0.001196258999698
lightTrans,2.5,19.2,0,19.2,-2.5,0,0.001161765001598
lightTrans,2.4,19.2,0,19.2,-2.4,0,0.001154741999926
lightTrans,2.8,19.2,0,19.2,-2.8,0,0.001316351997957
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.000935884003411
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.001172292999399
lightTrans,2.2,19.2,0,19.2,-2.2,0,0.001169237002614
lightTrans,1.9,19.2,25,19.2,23.1,0,0.001320379997196
lightTrans,1.8,19.2,0,19.2,-1.8,0,0.001229249995959
lightTrans,2.3,19.2,0,19.2,-2.3,0,0.000949347995629
lightTrans,2,19.2,0,19.2,-2,0,0.001181139996334
lightTrans,2,19.2,0,19.2,-2,0,0.001184706001368
lightTrans,2,19.2,0,19.2,-2,0,0.00133488499705
lightTrans,2.3,19.2,50,19.2,47.7,0,0.001208970003063
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.00131996699929
lightTrans,2.1,19.2,0,19.2,-2.1,0,0.001314817003731
lightTrans,2.3,18.8,0,18.8,-2.3,0,0.001308395003434
