sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medTrans,2.4,20.1,6.7,20.1,4.3,0,0.13960085400322
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.132397307002975
medTrans,2.3,20.2,5.1,20.2,2.8,0,0.133434666000539
medTrans,2.2,20.2,6.8,20.2,4.6,0,0.131670232003671
medTrans,2.3,20.2,6.8,20.2,4.5,0,0.132360611001786
medTrans,2.2,20.2,6,20.2,3.8,0,0.133731588000956
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.130935288005276
medTrans,2.4,20.2,7.6,20.2,5.2,0,0.134700296999654
medTrans,2.6,20.2,7.4,20.2,4.8,0,0.131620186002692
medTrans,2,20.2,6.1,20.2,4.1,0,0.138833133001754
medTrans,2.4,20.2,7.8,20.2,5.4,0,0.13038005099952
medTrans,2.4,20.2,5.7,20.2,3.3,0,0.132676698995056
medTrans,2.2,20.2,6.1,20.2,3.9,0,0.131421297999623
medTrans,2.4,20.2,5.3,20.2,2.9,0,0.135613047001243
medTrans,2.2,20.2,5.7,20.2,3.5,0,0.133845815995301
medTrans,2.1,20.2,7,20.2,4.9,0,0.133687520006788
medTrans,1.9,20.2,5.7,20.2,3.8,0,0.133121021994157
medTrans,1.9,20.2,5.7,20.2,3.8,0,0.13410670599842
medTrans,2,20.2,6.2,20.2,4.2,0,0.131355088997225
medTrans,2.3,20.2,7,20.2,4.7,0,0.134530986004393
medTrans,2.1,20.2,7.3,20.2,5.2,0,0.134383241005708
medTrans,2,20.2,6.2,20.2,4.2,0,0.136543911001354
medTrans,2.2,20.2,6.6,20.2,4.4,0,0.135380347994214
medTrans,2.2,20.2,5.9,20.2,3.7,0,0.136588904999371
medTrans,2.1,20.2,5.4,20.2,3.3,0,0.134228493996488
medTrans,2,20.2,6.6,20.2,4.6,0,0.135105474000739
medTrans,2.3,20.2,6.2,20.2,3.9,0,0.131568404998689
medTrans,2.2,20.2,6,20.2,3.8,0,0.133180285003618
medTrans,2.3,20.2,6.3,20.2,4,0,0.153092157997889
medTrans,2.1,20.2,7.8,20.2,5.7,0,0.135813061999215
medTrans,2,20.2,5.9,20.2,3.9,0,0.137618931999896
