sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medExtract,2.9,19.6,7.7,20,4.8,0.399999999999999,0.785403526002483
medExtract,3,19.9,7.7,20.1,4.7,0.200000000000003,0.745784707003622
medExtract,3.4,19.9,9.4,19.9,6,0,0.72463599099865
medExtract,2.8,20,8.8,20,6,0,0.744724458003475
medExtract,2.7,19.9,7.8,19.9,5.1,0,0.731731658997887
medExtract,2.5,20,8.7,20,6.2,0,0.759807751994231
medExtract,2.4,20,7.8,20,5.4,0,0.752446049002174
medExtract,2.1,19.9,7.5,20,5.4,0.100000000000001,0.743551432002278
medExtract,1.9,20,7.5,20,5.6,0,0.746835692996683
medExtract,2.2,20,8.7,20,6.5,0,0.755879902004381
medExtract,2.7,20,8.8,20,6.1,0,0.750836580002215
medExtract,2,20,7.9,20,5.9,0,0.751753129996359
medExtract,2.2,20,7.5,19.9,5.3,-0.100000000000001,0.727274395998393
medExtract,2.1,19.9,7.6,19.9,5.5,0,0.718213639003807
medExtract,2.2,19.9,7.4,19.9,5.2,0,0.735342422995018
medExtract,2.4,19.9,8,19.9,5.6,0,0.760465967003256
medExtract,2.3,19.9,7.2,19.9,4.9,0,0.753294609996374
medExtract,2.1,19.9,7.8,19.9,5.7,0,0.724152021000918
medExtract,2,19.9,7.7,19.9,5.7,0,0.746758816996589
medExtract,2.2,19.9,8.1,19.9,5.9,0,0.745241133998206
medExtract,2.3,19.9,7.5,19.9,5.2,0,0.760037183994427
medExtract,2.2,19.9,7.5,19.9,5.3,0,0.739218586000789
medExtract,2.2,19.9,7.9,19.9,5.7,0,0.74783281400596
medExtract,2.1,19.9,7.8,19.9,5.7,0,0.738717724998423
medExtract,2.1,19.9,7.6,19.9,5.5,0,0.757989165998879
medExtract,2.6,19.9,7.7,19.9,5.1,0,0.802511204004986
medExtract,2.3,19.9,7.9,19.9,5.6,0,0.761616459996731
medExtract,2.5,19.9,8.7,19.9,6.2,0,0.811462707999453
medExtract,4.3,20.1,10.3,20.1,6,0,0.790355031000217
medExtract,2.3,20.1,7.7,20.1,5.4,0,0.772613137000008
medExtract,2.5,20.1,7.9,20.1,5.4,0,0.744689669001673
