sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
medLoad,1.7,21.1,5.9,23.1,4.2,2,5.32137004900142
medLoad,1.9,23.1,6.5,23.3,4.6,0.199999999999999,5.15765657199518
medLoad,2.2,23.3,6.5,24.6,4.3,1.3,5.19716258299741
medLoad,2.1,24.6,6.3,25.4,4.2,0.799999999999997,5.28834371599805
medLoad,2.2,25.4,6.1,26.1,3.9,0.700000000000003,5.19801888399525
medLoad,2.1,26.1,6.3,26.9,4.2,0.799999999999997,5.36515080100071
medLoad,1.9,26.8,6.1,27.6,4.2,0.800000000000001,5.21448502199928
medLoad,1.9,27.6,6.2,28.4,4.3,0.799999999999997,5.08808978799789
medLoad,2.5,28.4,6.1,29.1,3.6,0.700000000000003,5.16810136700224
medLoad,2.2,29.1,6.3,29.7,4.1,0.599999999999998,5.35737131500355
medLoad,1.8,29.7,6,30.4,4.2,0.699999999999999,5.16953668500355
medLoad,1.9,30.4,6.2,31,4.3,0.600000000000001,5.2560914429996
medLoad,1.7,31,6,31.7,4.3,0.699999999999999,5.23476531699998
medLoad,2,31.7,6.1,32.3,4.1,0.599999999999998,5.34557478700299
medLoad,1.8,32.3,6.6,33,4.8,0.700000000000003,5.30745861799369
medLoad,2.1,33,6.2,33.6,4.1,0.600000000000001,5.32439378900017
medLoad,2.3,33.6,6.6,34.3,4.3,0.699999999999996,5.33845504100464
medLoad,2.1,34.3,6.9,35,4.8,0.700000000000003,5.41548801300087
medLoad,2.1,35,6.5,35.6,4.4,0.600000000000001,5.27044427199871
medLoad,2.3,35.6,6.9,36.3,4.6,0.699999999999996,5.27523082500557
medLoad,2.4,36.3,6.3,36.9,3.9,0.600000000000001,5.2995731619958
medLoad,2.4,36.9,6.2,37.6,3.8,0.700000000000003,5.34483165900019
medLoad,2.2,37.6,6.3,38.2,4.1,0.600000000000001,5.25745361000008
medLoad,2.1,38.2,6.3,38.9,4.2,0.699999999999996,5.20491006499651
medLoad,2.1,38.9,6.2,39.5,4.1,0.600000000000001,5.38476456900389
medLoad,2,39.5,6.3,40.2,4.3,0.700000000000003,5.28520950999518
medLoad,2.3,40.2,6.4,40.9,4.1,0.699999999999996,5.29226682599983
medLoad,2.2,40.9,6.3,41.5,4.1,0.600000000000001,5.22579364900594
medLoad,2.1,41.5,6.2,42.2,4.1,0.700000000000003,5.22093156100164
medLoad,2.2,42.2,6.2,42.8,4,0.599999999999994,5.65738968799997
medLoad,2.3,42.8,6.1,43.5,3.8,0.700000000000003,5.24687906300096
